iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
11,9.703636169433594e-5,7.898817897188966e-10,113359.56756756757,true
11,0.00013494491577148438,7.898817897188966e-10,81514.74204946996,true
11,4.887580871582031e-5,7.898817897188966e-10,225060.21463414634,true
11,3.814697265625e-5,7.898828624988562e-10,288358.4,true
11,4.410743713378906e-5,7.898817897188966e-10,249391.04864864866,true
11,4.100799560546875e-5,7.898828624988562e-10,268240.37209302327,true
11,4.100799560546875e-5,7.898828624988562e-10,268240.37209302327,true
11,4.100799560546875e-5,7.898817897188966e-10,268240.37209302327,true
11,4.38690185546875e-5,7.898839352793561e-10,250746.4347826087,true
11,3.0994415283203125e-5,7.898817897188966e-10,354902.6461538462,true
11,3.409385681152344e-5,7.898828624988562e-10,322638.76923076925,true
11,3.790855407714844e-5,7.898817897188966e-10,290171.9748427673,true
11,3.0994415283203125e-5,7.898839352793561e-10,354902.6461538462,true
11,3.0040740966796875e-5,7.898828624988562e-10,366169.3968253968,true
11,3.600120544433594e-5,7.898839352793561e-10,305545.32450331125,true
11,3.1948089599609375e-5,7.898817897188966e-10,344308.53731343284,true
11,3.790855407714844e-5,7.898839352793561e-10,290171.9748427673,true
11,3.314018249511719e-5,7.898817897188966e-10,331923.3381294964,true
11,3.695487976074219e-5,7.898828624988562e-10,297660.28387096775,true
11,3.0994415283203125e-5,7.898817897188966e-10,354902.6461538462,true
11,3.0040740966796875e-5,7.898828624988562e-10,366169.3968253968,true
11,3.0040740966796875e-5,7.898817897188966e-10,366169.3968253968,true
11,2.8848648071289062e-5,7.898817897188966e-10,381300.36363636365,true
11,2.8848648071289062e-5,7.898828624988562e-10,381300.36363636365,true
11,2.8848648071289062e-5,7.898839352793561e-10,381300.36363636365,true
11,2.8848648071289062e-5,7.898828624988562e-10,381300.36363636365,true
11,3.0040740966796875e-5,7.898839352793561e-10,366169.3968253968,true
11,3.0040740966796875e-5,7.898817897188966e-10,366169.3968253968,true
11,2.9087066650390625e-5,7.898817897188966e-10,378174.95081967214,true
11,3.0040740966796875e-5,7.898828624988562e-10,366169.3968253968,true
