,iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
0,8.0,1.9131948672901813e-14,0.3779680728912353,21.165808897044307,1.0
1,8.0,1.9131948672901813e-14,0.0959630012512207,83.36546268552887,1.0
2,7.0,6.289048474578663e-10,2.3746490478515624e-05,327394.960173321,1.0
3,7.0,6.288880336314801e-10,5.2928924560546875e-05,132252.82882882882,1.0
4,16.0,2.572467181729937e-09,0.000234842300415,68130.82639593909,1.0
5,30.0,3.361555310275936e-09,7.700920104980469e-05,389563.83900928794,1.0
