----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/ARGLINA.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 200
| 1 |Execution Info - Random | Iters:      2 | TTime: 0.20189 | LastNorm: 7.31212e-12 | Iterations/sec: 9.90639 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.02997 | LastNorm: 7.28230e-12 | Iterations/sec: 66.73568 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03146 | LastNorm: 7.28588e-12 | Iterations/sec: 63.57270 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03121 | LastNorm: 7.30739e-12 | Iterations/sec: 64.08018 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03113 | LastNorm: 7.31403e-12 | Iterations/sec: 64.25295 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03181 | LastNorm: 7.31323e-12 | Iterations/sec: 62.86568 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03140 | LastNorm: 7.28252e-12 | Iterations/sec: 63.70063 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03142 | LastNorm: 7.28216e-12 | Iterations/sec: 63.65374 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03141 | LastNorm: 7.31738e-12 | Iterations/sec: 63.67645 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03124 | LastNorm: 7.31279e-12 | Iterations/sec: 64.01856 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03137 | LastNorm: 7.28558e-12 | Iterations/sec: 63.75097 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03143 | LastNorm: 7.28247e-12 | Iterations/sec: 63.62960 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03101 | LastNorm: 7.31411e-12 | Iterations/sec: 64.48906 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03154 | LastNorm: 7.28029e-12 | Iterations/sec: 63.40356 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03154 | LastNorm: 7.31448e-12 | Iterations/sec: 63.41554 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03163 | LastNorm: 7.28182e-12 | Iterations/sec: 63.22484 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03146 | LastNorm: 7.34632e-12 | Iterations/sec: 63.57703 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03118 | LastNorm: 7.28885e-12 | Iterations/sec: 64.13358 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03148 | LastNorm: 7.27410e-12 | Iterations/sec: 63.52455 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03140 | LastNorm: 7.27602e-12 | Iterations/sec: 63.68612 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03154 | LastNorm: 7.35063e-12 | Iterations/sec: 63.40931 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03136 | LastNorm: 7.28408e-12 | Iterations/sec: 63.77133 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.21404 | LastNorm: 7.29276e-12 | Iterations/sec: 9.34417 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03201 | LastNorm: 7.28191e-12 | Iterations/sec: 62.47660 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03193 | LastNorm: 7.28050e-12 | Iterations/sec: 62.63100 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03195 | LastNorm: 7.31324e-12 | Iterations/sec: 62.59595 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03176 | LastNorm: 7.28253e-12 | Iterations/sec: 62.98037 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03159 | LastNorm: 7.32097e-12 | Iterations/sec: 63.31933 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03147 | LastNorm: 7.31325e-12 | Iterations/sec: 63.54284 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03117 | LastNorm: 7.28652e-12 | Iterations/sec: 64.15810 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:      2 | TTime: 0.04319 | LastNorm: 7.29867e-12 | Iterations/sec: 60.05089 | Convergence: true |
| 2 |Execution Info - Random | Iters:      2 | TTime: 0.03189 | LastNorm: 1.02726e-11 | Iterations/sec: 62.70966 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03164 | LastNorm: 1.02812e-11 | Iterations/sec: 63.20721 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03152 | LastNorm: 1.03010e-11 | Iterations/sec: 63.44576 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03152 | LastNorm: 1.02804e-11 | Iterations/sec: 63.45968 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03128 | LastNorm: 1.02268e-11 | Iterations/sec: 63.94292 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03149 | LastNorm: 1.02757e-11 | Iterations/sec: 63.51253 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03122 | LastNorm: 1.03035e-11 | Iterations/sec: 64.05327 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03138 | LastNorm: 1.02797e-11 | Iterations/sec: 63.74080 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03140 | LastNorm: 1.02239e-11 | Iterations/sec: 63.69627 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03139 | LastNorm: 1.02775e-11 | Iterations/sec: 63.71030 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03155 | LastNorm: 1.02659e-11 | Iterations/sec: 63.39158 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03129 | LastNorm: 1.02755e-11 | Iterations/sec: 63.91807 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03136 | LastNorm: 1.02653e-11 | Iterations/sec: 63.77763 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03125 | LastNorm: 1.02960e-11 | Iterations/sec: 63.99414 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03144 | LastNorm: 1.02786e-11 | Iterations/sec: 63.61319 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03151 | LastNorm: 1.01652e-11 | Iterations/sec: 63.47360 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.03100 | LastNorm: 1.02614e-11 | Iterations/sec: 64.51435 | Convergence: true |
