AMG,Gradient Queue,Random,Newton,BFGS,GDLS
79264.56674169394,79264.56674169394,80232.80618184575,80232.8061818458,80232.80618184578,918.1669100938742
26436.394379168105,26436.394379024823,26790.280094244474,26790.280094244506,44760.31880381083,44.17875134138247
8807.592772850427,8807.592772750515,8936.96944077634,8936.96944077634,20757.91015111783,10.591549323729716
2931.3052299066617,2931.3052298524894,2978.6212928515934,2978.621292851599,10351.2323577134,1.4664206944243916
974.6457669883544,974.6457669616233,991.9602653533556,991.9602653533549,5020.365391938017,1.0256086376797984
323.79390566230796,323.7939056501832,330.13554624796956,330.1355462479699,2461.5038344990057,0.7632085004241566
107.49978659885925,107.49978659368011,109.8256644629402,109.82566446294021,1202.0572350758005,0.5461599830281457
35.67612100210665,35.67612099998976,36.5308578357701,36.53085783577013,588.0885649443761,0.40312161900738125
11.839443693300195,11.839443692446869,12.154404009108346,12.154404009108312,287.6224937598036,0.29135034105842655
3.9306063215943228,3.9306063212535753,4.047068996432741,4.047068996432732,140.76103023973675,0.213978256795006
1.306086569060431,1.3060865689252346,1.3493268203753284,1.3493268203753228,68.9172847982158,0.1553868750972135
0.4345282860378493,0.43452828598444787,0.4506511836335878,0.45065118363358625,33.7654960956934,0.11379706332915561
0.14469462230149444,0.14469462228048027,0.15072953536576264,0.150729535365762,16.556110231040616,0.08283576342448806
0.04811361376308473,0.048113613754845706,0.05037919460319303,0.05037919460319278,8.125605623730646,0.0605689009748987
0.01587323873565632,0.01587323873243974,0.0167245286109649,0.016724528610964774,3.9922785129385234,0.04414444058798321
0.005138269617504042,0.0051382696162653,0.005455369893754151,0.005455369893754106,1.9637995065651725,0.03225042495491267
0.0016167730053137088,0.0016167730048564579,0.0017309280435588508,0.0017309280435588337,0.9671447368188606,0.02352040667406065
0.0004952419718785887,0.0004952419717208253,0.0005340437715861632,0.0005340437715861572,0.47680781363865277,0.017175275228636294
0.00014909709040283572,0.0001490970903516356,0.00016159500746240504,0.0001615950074624031,0.23521434049165663,0.012530334379954588
4.449579628988328e-5,4.449579627390468e-5,4.838080294089705e-5,4.838080294089642e-5,0.11598967596925437,0.0091477458302367
1.322643091488785e-5,1.322643091009347e-5,1.4409862640899185e-5,1.4409862640898992e-5,0.057056686312890126,0.00667501699862555
3.92468689710681e-6,3.924686894513318e-6,4.281145447809523e-6,4.2811454478094626e-6,0.027882155270164674,0.004872438778072689
1.1636686687578946e-6,1.1636686665865644e-6,1.270353652853787e-6,1.2703536528537687e-6,0.013427878952368329,0.003555714141196059
3.449056850842021e-7,3.4490568452462833e-7,3.7671610299642346e-7,3.767161029964184e-7,0.006277075391455187,0.0025953158591698225
1.0221151081209196e-7,1.0221151064085156e-7,1.1167489915579259e-7,1.116748991557909e-7,0.002765877652433127,0.0018940572388038573
3.0287589779995204e-8,3.0287589709724265e-8,3.309888908711401e-8,3.309888908711351e-8,0.0010826319601004541,0.0013824204484356075
8.974541853902148e-9,8.974541813374608e-9,9.80894287164522e-9,9.808942871645073e-9,0.000333140586075591,0.0010089159046510851
,,,,6.340156691976679e-5,0.000736365299554206
,,,,4.9428064426342945e-6,0.000537420825795457
,,,,1.530211101199769e-7,0.00039223667701473536
,,,,3.5034095770346106e-8,0.00028626797399894653
,,,,8.027171112261414e-9,0.00020893153883414376
,,,,,0.00015248613964290733
,,,,,0.0001112910634745367
,,,,,8.122460724582973e-5
,,,,,5.92811802458066e-5
,,,,,4.32657942631387e-5
,,,,,3.1577193535261445e-5
,,,,,2.3046322806632013e-5
,,,,,1.6820166476075358e-5
,,,,,1.2276047123049976e-5
,,,,,8.959568415047066e-6
,,,,,6.5390615370268166e-6
,,,,,4.7724777373497506e-6
,,,,,3.4831508754580692e-6
,,,,,2.5421474876939036e-6
,,,,,1.8553640649527633e-6
,,,,,1.354121337606342e-6
,,,,,9.88293617563641e-7
,,,,,7.212974932290911e-7
,,,,,5.26432675820502e-7
,,,,,3.842123015896899e-7
,,,,,2.804139948524793e-7
,,,,,2.0465770972876884e-7
,,,,,1.493676437698012e-7
,,,,,1.0901467241977889e-7
,,,,,7.956340766510923e-8
,,,,,5.8068659253041083e-8
,,,,,4.238090443694868e-8
,,,,,3.093133349530033e-8
,,,,,2.257496395887435e-8
,,,,,1.6476140559526933e-8
,,,,,1.2024967481307415e-8
,,,,,8.776317639281494e-9
