AMG,Gradient Queue,Random,Newton,BFGS,GDLS
82405.53930413896,82405.53930413896,958.5243734658319,187.96460314095182,80232.80618184578,918.1669100938742
28122.9301159396,28127.018223693383,0.05313856593226801,73.12083344134729,44760.31880381083,44.17875134138247
9539.823500881588,9534.660812186716,0.005037616287932433,39.69499354621923,20757.91015111783,10.591549323729716
3211.790696837118,3212.0760418709788,0.0037636363148259634,16.14342520600863,10351.2323577134,1.4664206944243916
1073.6501019509813,1074.3888776785757,0.00018906725078627755,17.51734988296417,5020.365391938017,1.0256086376797984
355.52445327739343,363.27239169811816,0.00012006963744390887,5.3860648818577594,2461.5038344990057,0.7632085004241566
119.1994651320425,120.6023383118229,0.0001543262262128525,1.7184592791827351,1202.0572350758005,0.5461599830281457
17.666035825332564,39.89603727919714,0.00014689270695280668,1.099147745680786,588.0885649443761,0.40312161900738125
1.318887661584684,4.095298549685801,2.76359092289555e-6,0.12051395735119194,287.6224937598036,0.29135034105842655
0.2681136252470604,0.039810265750974023,1.056751338643601e-6,0.00012018171552977918,140.76103023973675,0.213978256795006
0.003590707321547897,0.00014227444144872535,1.511261889088354e-7,0.0,68.9172847982158,0.1553868750972135
0.0014988762378168542,0.00010886985198797639,5.39586901228996e-9,,33.7654960956934,0.11379706332915561
1.0908191859130343e-7,5.631262497212651e-5,,,16.556110231040616,0.08283576342448806
2.5412312496410528e-15,1.711243474285553e-6,,,8.125605623730646,0.0605689009748987
,4.509426954949181e-7,,,3.9922785129385234,0.04414444058798321
,6.500376688413065e-8,,,1.9637995065651725,0.03225042495491267
,2.4165083773376466e-9,,,0.9671447368188606,0.02352040667406065
,,,,0.47680781363865277,0.017175275228636294
,,,,0.23521434049165663,0.012530334379954588
,,,,0.11598967596925437,0.0091477458302367
,,,,0.057056686312890126,0.00667501699862555
,,,,0.027882155270164674,0.004872438778072689
,,,,0.013427878952368329,0.003555714141196059
,,,,0.006277075391455187,0.0025953158591698225
,,,,0.002765877652433127,0.0018940572388038573
,,,,0.0010826319601004541,0.0013824204484356075
,,,,0.000333140586075591,0.0010089159046510851
,,,,6.340156691976679e-5,0.000736365299554206
,,,,4.9428064426342945e-6,0.000537420825795457
,,,,1.530211101199769e-7,0.00039223667701473536
,,,,3.5034095770346106e-8,0.00028626797399894653
,,,,8.027171112261414e-9,0.00020893153883414376
,,,,,0.00015248613964290733
,,,,,0.0001112910634745367
,,,,,8.122460724582973e-5
,,,,,5.92811802458066e-5
,,,,,4.32657942631387e-5
,,,,,3.1577193535261445e-5
,,,,,2.3046322806632013e-5
,,,,,1.6820166476075358e-5
,,,,,1.2276047123049976e-5
,,,,,8.959568415047066e-6
,,,,,6.5390615370268166e-6
,,,,,4.7724777373497506e-6
,,,,,3.4831508754580692e-6
,,,,,2.5421474876939036e-6
,,,,,1.8553640649527633e-6
,,,,,1.354121337606342e-6
,,,,,9.88293617563641e-7
,,,,,7.212974932290911e-7
,,,,,5.26432675820502e-7
,,,,,3.842123015896899e-7
,,,,,2.804139948524793e-7
,,,,,2.0465770972876884e-7
,,,,,1.493676437698012e-7
,,,,,1.0901467241977889e-7
,,,,,7.956340766510923e-8
,,,,,5.8068659253041083e-8
,,,,,4.238090443694868e-8
,,,,,3.093133349530033e-8
,,,,,2.257496395887435e-8
,,,,,1.6476140559526933e-8
,,,,,1.2024967481307415e-8
,,,,,8.776317639281494e-9
