----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/BROWNBS.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
Execution Info - Random | Iters:     17 | TTime: 0.00008 | LastNorm: 2.32831e-10 | Iterations/sec: 207276.65116 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00010 | LastNorm: 8.84756e-09 | Iterations/sec: 181117.67273 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00014 | LastNorm: 0.00000e+00 | Iterations/sec: 152125.01554 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00015 | LastNorm: 0.00000e+00 | Iterations/sec: 153368.82671 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00011 | LastNorm: 0.00000e+00 | Iterations/sec: 172867.19306 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00010 | LastNorm: 1.86265e-09 | Iterations/sec: 166986.34192 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00018 | LastNorm: 0.00000e+00 | Iterations/sec: 148228.02094 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00020 | LastNorm: 8.85870e-09 | Iterations/sec: 137840.97653 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00011 | LastNorm: 0.00000e+00 | Iterations/sec: 178481.02128 | Convergence: true |
Execution Info - Random | Iters:     27 | TTime: 0.00016 | LastNorm: 0.00000e+00 | Iterations/sec: 164602.04651 | Convergence: true |
Execution Info - Random | Iters:     24 | TTime: 0.00017 | LastNorm: 0.00000e+00 | Iterations/sec: 140199.57660 | Convergence: true |
Execution Info - Random | Iters:     16 | TTime: 0.00013 | LastNorm: 0.00000e+00 | Iterations/sec: 122016.11636 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00018 | LastNorm: 7.91624e-09 | Iterations/sec: 117912.16064 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 195351.14521 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00010 | LastNorm: 8.88178e-10 | Iterations/sec: 181117.67273 | Convergence: true |
