----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/PENALTY1.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 1000
Execution Info - Random | Iters:     64 | TTime: 3.04895 | LastNorm: 1.65623e-10 | Iterations/sec: 20.99083 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 2.67158 | LastNorm: 5.86124e-10 | Iterations/sec: 22.08429 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 2.42545 | LastNorm: 6.70397e-09 | Iterations/sec: 21.85161 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 2.35743 | LastNorm: 7.85866e-10 | Iterations/sec: 21.63372 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 2.82873 | LastNorm: 8.38663e-09 | Iterations/sec: 20.50391 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 2.58278 | LastNorm: 2.02202e-09 | Iterations/sec: 20.52055 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 2.63280 | LastNorm: 9.14599e-09 | Iterations/sec: 21.64998 | Convergence: true |
Execution Info - Random | Iters:     76 | TTime: 3.55288 | LastNorm: 1.90044e-09 | Iterations/sec: 21.39109 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 2.65619 | LastNorm: 5.69751e-09 | Iterations/sec: 21.83575 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 2.23292 | LastNorm: 7.09307e-09 | Iterations/sec: 21.49652 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 3.44430 | LastNorm: 1.78620e-10 | Iterations/sec: 21.19441 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 2.11443 | LastNorm: 4.06354e-09 | Iterations/sec: 21.28234 | Convergence: true |
Execution Info - Random | Iters:     76 | TTime: 3.55028 | LastNorm: 3.34991e-09 | Iterations/sec: 21.40677 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 2.31099 | LastNorm: 2.56803e-09 | Iterations/sec: 21.63572 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 2.43304 | LastNorm: 5.27400e-09 | Iterations/sec: 21.37247 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 2.64606 | LastNorm: 9.18630e-09 | Iterations/sec: 21.54148 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 1.99680 | LastNorm: 8.72449e-09 | Iterations/sec: 21.03365 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 2.42496 | LastNorm: 9.21004e-09 | Iterations/sec: 21.85607 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     58 | TTime: 2.69276 | LastNorm: 4.44151e-09 | Iterations/sec: 21.46071 | Convergence: true |
| 3 |Execution Info - Random | Iters:     51 | TTime: 2.34881 | LastNorm: 7.81748e-11 | Iterations/sec: 21.71308 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 2.51081 | LastNorm: 1.37964e-10 | Iterations/sec: 21.90524 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 2.98748 | LastNorm: 7.02548e-09 | Iterations/sec: 20.75326 | Convergence: true |
Execution Info - Random | Iters:     79 | TTime: 3.66280 | LastNorm: 4.46583e-09 | Iterations/sec: 21.56822 | Convergence: true |
Execution Info - Random | Iters:     56 | TTime: 2.54245 | LastNorm: 3.20529e-10 | Iterations/sec: 22.02601 | Convergence: true |
Execution Info - Random | Iters:     56 | TTime: 2.55413 | LastNorm: 7.90575e-09 | Iterations/sec: 21.92526 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 2.98266 | LastNorm: 1.00998e-09 | Iterations/sec: 20.78681 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 2.64124 | LastNorm: 6.18499e-09 | Iterations/sec: 21.95938 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 2.43117 | LastNorm: 7.79865e-09 | Iterations/sec: 21.80018 | Convergence: true |
Execution Info - Random | Iters:     74 | TTime: 3.45439 | LastNorm: 3.23809e-09 | Iterations/sec: 21.42202 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 2.87011 | LastNorm: 2.16816e-10 | Iterations/sec: 20.55674 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 2.78338 | LastNorm: 2.52381e-09 | Iterations/sec: 22.27509 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 3.13439 | LastNorm: 4.51537e-09 | Iterations/sec: 21.05674 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 3.50766 | LastNorm: 8.42771e-09 | Iterations/sec: 21.38177 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 2.80637 | LastNorm: 2.33047e-09 | Iterations/sec: 22.09262 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 2.35361 | LastNorm: 4.98824e-09 | Iterations/sec: 21.66881 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 3.16962 | LastNorm: 1.62509e-10 | Iterations/sec: 21.13817 | Convergence: true |
Execution Info - Random | Iters:     71 | TTime: 3.14546 | LastNorm: 2.45396e-10 | Iterations/sec: 22.57219 | Convergence: true |
Execution Info - Random | Iters:     41 | TTime: 1.95296 | LastNorm: 9.52986e-09 | Iterations/sec: 20.99378 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 2.24308 | LastNorm: 2.89823e-09 | Iterations/sec: 21.39916 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 3.42561 | LastNorm: 6.20643e-10 | Iterations/sec: 21.31008 | Convergence: true |
Execution Info - Random | Iters:     79 | TTime: 3.68236 | LastNorm: 2.07794e-09 | Iterations/sec: 21.45366 | Convergence: true |
Execution Info - Random | Iters:     76 | TTime: 3.54999 | LastNorm: 2.40369e-09 | Iterations/sec: 21.40854 | Convergence: true |
Execution Info - Random | Iters:     72 | TTime: 3.37045 | LastNorm: 1.44781e-10 | Iterations/sec: 21.36214 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 2.36990 | LastNorm: 3.54672e-09 | Iterations/sec: 21.51990 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 3.50449 | LastNorm: 2.30306e-09 | Iterations/sec: 21.40113 | Convergence: true |
Execution Info - Random | Iters:     61 | TTime: 2.74456 | LastNorm: 7.00016e-10 | Iterations/sec: 22.22577 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 3.17891 | LastNorm: 2.60615e-09 | Iterations/sec: 20.76187 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 2.35269 | LastNorm: 2.91844e-09 | Iterations/sec: 21.67730 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 2.35498 | LastNorm: 1.72540e-09 | Iterations/sec: 21.65628 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     62 | TTime: 2.88722 | LastNorm: 3.10169e-09 | Iterations/sec: 21.52571 | Convergence: true |
| 4 |Execution Info - Random | Iters:     58 | TTime: 2.62522 | LastNorm: 9.15930e-09 | Iterations/sec: 22.09338 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 2.63126 | LastNorm: 1.19190e-11 | Iterations/sec: 21.66263 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 2.66664 | LastNorm: 1.85415e-09 | Iterations/sec: 22.12525 | Convergence: true |
Execution Info - Random | Iters:     56 | TTime: 2.75601 | LastNorm: 6.86193e-09 | Iterations/sec: 20.31925 | Convergence: true |
