----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/PENALTY1.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 1000
| 1 |Execution Info - Random | Iters:     82 | TTime: 4.40883 | LastNorm: 4.21318e-09 | Iterations/sec: 18.59905 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 3.50788 | LastNorm: 8.34907e-09 | Iterations/sec: 21.38045 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 3.98669 | LastNorm: 1.22713e-09 | Iterations/sec: 21.82264 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 4.06453 | LastNorm: 2.30030e-09 | Iterations/sec: 20.91262 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 3.72387 | LastNorm: 7.29108e-09 | Iterations/sec: 21.75158 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 3.61433 | LastNorm: 3.49576e-09 | Iterations/sec: 21.58079 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 3.16853 | LastNorm: 6.50415e-10 | Iterations/sec: 21.14547 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 3.73282 | LastNorm: 8.36147e-10 | Iterations/sec: 21.69944 | Convergence: true |
Execution Info - Random | Iters:     94 | TTime: 4.27093 | LastNorm: 4.49713e-09 | Iterations/sec: 22.00927 | Convergence: true |
Execution Info - Random | Iters:     83 | TTime: 3.98620 | LastNorm: 6.05986e-09 | Iterations/sec: 20.82182 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 3.72066 | LastNorm: 1.34524e-10 | Iterations/sec: 21.77034 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 3.71735 | LastNorm: 7.45609e-09 | Iterations/sec: 21.52071 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 3.61758 | LastNorm: 2.15396e-09 | Iterations/sec: 21.56138 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 3.13295 | LastNorm: 8.20136e-09 | Iterations/sec: 21.06641 | Convergence: true |
Execution Info - Random | Iters:     84 | TTime: 3.84987 | LastNorm: 1.47807e-10 | Iterations/sec: 21.81889 | Convergence: true |
Execution Info - Random | Iters:     84 | TTime: 3.85165 | LastNorm: 4.46230e-10 | Iterations/sec: 21.80885 | Convergence: true |
Execution Info - Random | Iters:     88 | TTime: 4.19980 | LastNorm: 1.17484e-09 | Iterations/sec: 20.95339 | Convergence: true |
Execution Info - Random | Iters:     86 | TTime: 3.92684 | LastNorm: 3.72708e-10 | Iterations/sec: 21.90058 | Convergence: true |
Execution Info - Random | Iters:     83 | TTime: 3.80180 | LastNorm: 9.23329e-09 | Iterations/sec: 21.83174 | Convergence: true |
Execution Info - Random | Iters:     84 | TTime: 3.85380 | LastNorm: 3.36961e-10 | Iterations/sec: 21.79668 | Convergence: true |
Execution Info - Random | Iters:     90 | TTime: 4.28137 | LastNorm: 1.18524e-09 | Iterations/sec: 21.02129 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 4.23188 | LastNorm: 5.56208e-09 | Iterations/sec: 21.97606 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 3.86392 | LastNorm: 5.31126e-09 | Iterations/sec: 20.70438 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 3.72416 | LastNorm: 1.32407e-09 | Iterations/sec: 21.74989 | Convergence: true |
Execution Info - Random | Iters:     94 | TTime: 4.24899 | LastNorm: 4.51915e-10 | Iterations/sec: 22.12292 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 4.08367 | LastNorm: 4.52262e-09 | Iterations/sec: 20.81460 | Convergence: true |
Execution Info - Random | Iters:     83 | TTime: 3.84535 | LastNorm: 1.60628e-10 | Iterations/sec: 21.58451 | Convergence: true |
Execution Info - Random | Iters:    100 | TTime: 4.67072 | LastNorm: 3.72309e-10 | Iterations/sec: 21.40997 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 3.00833 | LastNorm: 2.19313e-09 | Iterations/sec: 22.27148 | Convergence: true |
Execution Info - Random | Iters:     98 | TTime: 4.57168 | LastNorm: 4.99176e-09 | Iterations/sec: 21.43634 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     83 | TTime: 3.88890 | LastNorm: 3.15509e-09 | Iterations/sec: 21.42812 | Convergence: true |
| 2 |Execution Info - Random | Iters:     99 | TTime: 4.64536 | LastNorm: 5.24572e-10 | Iterations/sec: 21.31160 | Convergence: true |
Execution Info - Random | Iters:     79 | TTime: 3.66679 | LastNorm: 4.87526e-09 | Iterations/sec: 21.54472 | Convergence: true |
Execution Info - Random | Iters:     77 | TTime: 3.57805 | LastNorm: 1.38309e-09 | Iterations/sec: 21.52012 | Convergence: true |
Execution Info - Random | Iters:     91 | TTime: 4.36984 | LastNorm: 1.65519e-09 | Iterations/sec: 20.82454 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 4.19943 | LastNorm: 7.98706e-09 | Iterations/sec: 22.14587 | Convergence: true |
Execution Info - Random | Iters:     77 | TTime: 3.66402 | LastNorm: 1.09791e-09 | Iterations/sec: 21.01519 | Convergence: true |
Execution Info - Random | Iters:    101 | TTime: 4.74350 | LastNorm: 3.92629e-10 | Iterations/sec: 21.29230 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 4.16806 | LastNorm: 2.12439e-10 | Iterations/sec: 20.87304 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 3.33345 | LastNorm: 2.32603e-09 | Iterations/sec: 22.49920 | Convergence: true |
Execution Info - Random | Iters:     79 | TTime: 3.83327 | LastNorm: 3.01344e-10 | Iterations/sec: 20.60902 | Convergence: true |
Execution Info - Random | Iters:     79 | TTime: 3.65296 | LastNorm: 6.93607e-09 | Iterations/sec: 21.62627 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 3.77218 | LastNorm: 3.16752e-09 | Iterations/sec: 21.47302 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 3.97691 | LastNorm: 1.83449e-09 | Iterations/sec: 21.87630 | Convergence: true |
Execution Info - Random | Iters:     76 | TTime: 3.52320 | LastNorm: 6.29051e-10 | Iterations/sec: 21.57131 | Convergence: true |
Execution Info - Random | Iters:     89 | TTime: 4.24347 | LastNorm: 1.52570e-09 | Iterations/sec: 20.97340 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 3.97094 | LastNorm: 9.85078e-09 | Iterations/sec: 21.90919 | Convergence: true |
