iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
5.0,4.460494208775849e-9,0.35621190071105957,14.036588867522813,1.0
5.0,4.4607614111904015e-9,0.09432315826416016,53.00925130175421,1.0
9.7,3.4080928474699718e-9,8.417765299479167e-5,116915.95728314185,1.0
2.0,2.3733422836622476e-14,4.696846008300781e-5,42581.766497461926,1.0
2.0,1.837201813030501e-14,0.00018596649169921875,10754.625641025641,1.0
32.0,6.023283165969431e-9,0.00011110305786132812,288020.8755364807,1.0
