Oviedo,Queue,RD,Newton
2.406861117483002e7,2.406861117482925e7,2.4565248449455418e7,7.21443603894303e7
8.184293953719535e6,8.1842939537567515e6,8.3626073269285e6,2.4565248449455224e7
2.7930126955118165e6,2.7930126955550076e6,2.846085710166041e6,8.362607326927293e6
952999.6046978707,952999.604721439,968328.3314339693,2.846085710165788e6
325126.52844175097,325126.52844902937,329358.50926554744,968328.3314339473
110907.39680768285,110907.39680839011,112002.75382885027,329358.50926556764
37829.05850523591,37829.05850626524,38086.706646830746,112002.75382886652
12902.18888592899,12902.188886353075,12953.374938633206,38086.70664683883
4400.600896697832,4400.600896954157,4407.016558065931,12953.37493863676
1501.1923869021366,1501.192398967617,1500.3015136453805,4407.016558067349
511.93348341037995,511.9334851161694,511.2285559457125,1500.30151364592
169.84524397111988,169.84524753934951,173.4157711509996,511.22855594590817
27.624297585745275,27.62427768552755,153766.34677194073,173.41577115105667
9.695704457051871,9.695702899999008,50341.38438913811,153766.34681238
3.2535372600785606,3.2535345269514266,16488.33290245754,50341.38440237819
1.1282934562283777,1.12829261434654,5403.833004440464,16488.332906793457
0.389743700520353,0.38974340128874463,1772.8365968446903,5403.833005860862
0.13524594209723803,0.13524583555838302,582.6592138184941,1772.8365973102002
0.04728750469130839,0.04728746677219807,192.02832591598826,582.6592139711915
0.01671553383488745,0.01671552030634404,62.690898007380895,192.02832596623801
0.005998232046099484,0.005998227188967408,9.223610928941525,62.690898024629156
0.002200675247846128,0.0022006734864196916,3.010312798157183,9.223610915636506
0.0008388600533051757,0.0008388594052620693,0.9808015610640834,3.0103127937213094
0.0003423116165961786,0.0003423113718447972,0.31965666805395304,0.9808015596142621
0.00015438356079130065,0.00015438346286662035,0.10424729478268832,0.3196566675801273
7.719603218068975e-5,7.71959888964854e-5,0.034019507502257046,0.10424729462779338
4.154447212519561e-5,4.15444508085209e-5,0.011107829509020048,0.03401950745160307
2.3291636349410094e-5,2.3291625011736174e-5,0.003628463254652681,0.01110782949244938
1.334945656019523e-5,1.3349450270255848e-5,0.0011857000911209682,0.0036284632492302573
7.761239742107283e-6,7.761236230424395e-6,0.00038758094466035683,0.00118570008934617
4.5658730289679e-6,4.56587095812137e-6,0.00012672693357504262,0.00038758094407934356
2.7164594210090406e-6,2.7164584272251496e-6,4.144590438081977e-5,0.00012672693338481073
1.6344733398919104e-6,1.6344728210010615e-6,1.3557817781338348e-5,4.1445904318526916e-5
9.947274879792256e-7,9.947281214686759e-7,4.435922395062779e-6,1.3557817760937888e-5
6.123894245096819e-7,6.123883083312063e-7,1.4516281267672596e-6,4.435922388380787e-6
3.813887579853923e-7,3.813884621115152e-7,4.751120708310799e-7,1.4516281245786221e-6
2.4027855237169396e-7,2.402778633646919e-7,1.5552441489307456e-7,4.751120701143386e-7
1.531201168714487e-7,1.5312052557122339e-7,5.091620917131863e-8,1.5552441465824717e-7
9.86867320304731e-8,9.86874513173463e-8,1.6671023171378328e-8,5.091620909441091e-8
6.43155710333394e-8,6.431217497589376e-8,5.458979485055839e-9,1.6671023146149495e-8
4.237397073252101e-8,4.237621324812734e-8,,5.458979476771096e-9
2.8217601729716456e-8,2.8217384731416024e-8,,
1.8984955543734708e-8,1.898872549267794e-8,,
1.2903684589832494e-8,1.2898652445509904e-8,,
8.851492851262023e-9,8.857830061580365e-9,,
