Oviedo,Queue,RD,Newton
7158.72119250872,7158.721192013512,7158.721180304593,6020.937647808856
6979.033551084856,6979.1025882350095,6631.875395915243,7158.680214204335
6186.577934344689,6239.342953083218,6617.328392175345,6819.789852197202
7634.605778415214,6895.021321917697,6583.4109642645635,7127.397486355876
8804.199286230622,7034.92881332997,6517.607438990532,7145.6764178815465
6459.054535167239,6996.449013944905,6449.082505044992,7398.557030280879
7087.5710972365805,6645.829747969021,6423.274640176618,7405.876386609451
5965.757600745699,6963.845599962755,6413.949623283238,7440.2131282293185
7855.394006676967,6652.358881410636,6405.555390176663,7438.69592232023
8559.314876077444,6791.923368246306,6401.172304748156,7449.2938196218465
8806.909365357313,6899.2020782474065,6394.763906550826,7467.153049438172
6994.048119973105,6643.924135541547,6388.179805816812,8055.219006970575
6390.934983517377,6488.721266033188,6384.159198962008,8114.539299999131
6884.4837148988945,6728.36348219019,6380.756677118581,8083.721270065596
6633.26305174107,6893.769064729393,6379.1396857634045,8126.08293108835
6839.097138379455,6889.568149248624,6377.325230553163,8144.002324408538
8285.964159516865,6963.316033918095,6374.318141151076,8155.640448085836
8753.19582516934,6687.865896088922,6371.569359332564,8199.717310805374
5150.1437702119365,6703.333710616185,6369.120796097361,8265.099672335811
6881.792272456488,6665.1880770443195,6366.981196397586,8253.212177282865
7108.619660915937,6671.1301877432015,6362.908566890367,8249.174489170262
7472.773411706413,6866.354572146381,6358.522624761387,8278.49232952406
8158.221999313655,6830.509734095092,6354.813120658641,8293.494921550951
8513.997910359247,7170.41639058968,6353.301013801601,8335.623861016791
8716.87809424757,6877.890411995431,6351.161357868304,8344.78229155293
5760.229351421139,6537.007792835546,6348.821767073647,8381.204439964062
6990.680686590768,6851.364730229959,6346.560673859489,8643.30540258592
5145.086716948413,6302.872198872511,6343.699987975532,8593.794465279749
8458.471142362332,7579.158548465612,6342.348043470081,8619.991059670496
8047.554133560789,6933.846633221192,6340.094795022318,8644.86983920391
8337.812902015652,6858.623303944403,6338.3293906236695,8738.435528703036
7438.8068941388065,6845.008982056335,6336.419760954478,9046.546400735908
8222.828880862295,6688.609854780089,6332.250528673364,9037.270516878521
8646.558132625043,6727.470994371367,6328.166780938881,9068.912819444946
6062.223187529246,6405.413185010365,6324.869167115937,9058.896348067583
7785.214562210659,6875.793753833195,6323.961946450115,12162.311518341401
8470.597789504167,6609.140559642604,6323.214021573722,12129.021771488746
8683.98304553947,7202.046802005458,6322.040684243916,12171.560067663682
7792.944180324606,6691.358167333767,6320.248232638869,12168.09892459433
6922.679950638343,6404.433617342012,6318.574726260219,12161.67667630462
6931.1004963515015,6487.198236338833,6314.836469478005,12180.951841622225
7802.09784293919,7044.88581811349,6314.45602912843,12186.666208655806
8371.978979324342,6871.539038018144,6312.346721393379,12323.25237491449
7821.016488033607,6582.30146332858,6309.892267284736,12277.46388386518
8358.303532047445,6689.973988486732,6309.308022461288,12326.484993393065
7694.54777100025,6307.140705930458,6306.537623432244,12363.071903720338
8597.594815551225,6766.435984464017,6303.509467756225,12360.345931228587
5450.152978575427,6362.046550838813,6301.6287586486405,12421.829802596474
7342.025125508565,6560.442847905714,6300.696316450862,12446.211947531128
7518.0101949395885,7057.521757583194,6299.846728944517,12441.091931727671
8705.711203523271,6411.442937260621,6298.800171071874,12492.190487945249
5785.528422737632,7250.739141606376,6297.5267558902815,12509.370887219475
7787.507418507338,7010.255319622728,6295.90515613793,12508.69156563775
8376.598460841484,6642.207896837924,6293.752635937304,12533.153282448227
7965.145247222508,6837.290720265659,6291.918877514996,12617.962469275226
8247.238138411443,6713.418259728838,6290.861557852689,12655.65372510286
7135.0102567043195,7185.234724711105,6289.635799460889,12626.053838536836
5738.351203000443,7026.0259282157895,6288.96969509402,13895.00193043931
7736.785301022517,6873.862706142212,6288.276770179602,13882.055353762596
8432.484864737526,6769.354393561577,6286.530857606355,13924.415315016246
8615.998703813862,6834.929773595304,6285.6221843049725,13908.62540747079
5140.064023800192,6679.784642682647,6285.036922847353,13914.56517523015
6910.146930567592,6492.474498167729,6283.134119886244,14021.662009800726
5143.324057346158,6496.650648709048,6282.309751667011,14065.89042066193
8450.879010005465,7266.134371050017,6280.951716261022,14081.705857718174
8626.632990718454,7164.382105466415,6280.14725049447,14108.146852169899
7312.1392051941875,6936.141170636904,6279.647776346995,14067.096661679225
7597.07954816333,6645.691036953915,6280.9311238902455,14120.895595742473
8615.474108896722,6843.082606976287,6278.898234342062,29649.379630994
6897.076052562099,6226.704704061898,6278.42390715907,29685.38717576266
7519.615011164822,7132.876051913236,6276.728401075305,29647.367351197703
6799.759339076873,7048.754752315624,6274.4256944331755,29709.67634126552
6561.710534636577,6887.261391881029,6272.855129449695,29702.269260522873
6761.373603950524,6541.763836913698,6272.456234695815,29708.74852200738
8118.470804106004,7001.292670614416,6271.925926747007,29714.20305254413
8451.488781266793,6496.1082711057425,6270.964184382579,29733.158703035675
8442.838021236266,6990.231103417283,6270.540538200716,29752.40093105774
8604.572026326703,6514.415076957324,6269.779274968582,29753.468566235657
6893.972905446276,6966.297003261502,6269.42794275224,29786.098305691994
8566.624197443482,6648.795167624617,6267.199407144381,29784.177872662865
5705.005200868605,7093.061299793039,6266.9893296264545,29759.758096016587
7734.503144779871,6751.456234598551,6265.704985237912,29793.96828910542
8298.362645607005,6180.751896396413,6264.781026129812,29777.247640194833
7549.885584325367,6750.625507954975,6264.309318830537,29811.940341111644
8671.845099782586,6438.7432880675415,6264.0036284331045,29834.739001856542
8697.981546927502,6577.357435470103,6262.579782586225,29838.95716195267
5107.558794975308,6991.8102075245015,6262.661782073496,29840.074739018753
6456.175912977709,6890.9440934627655,6262.238504686431,29866.075677829835
6720.725528206419,6707.259164209235,6261.267035434006,29869.905286481557
7871.399991039681,6561.724695963953,6258.9217078289485,29891.99377863815
6876.975250336521,6630.278578423662,6258.948580718146,29865.12939776314
8666.86829326037,7073.582721854855,6258.010483285299,29875.18949653072
5176.435509427405,6987.13492127775,6257.927302405679,29880.941952714744
5169.392335701408,6842.525189294664,6257.293314773023,29895.646015733506
5072.897076360867,6613.004588624399,6256.58852116521,30129.502193166238
7599.7510941263645,7137.059376827074,6254.897724065749,30234.05201440224
6787.0343971319235,6667.2081424864855,6254.14398703693,30253.069532899877
7874.783874297249,6883.868791779194,6251.482355703685,30255.683206340047
8052.91687879539,6679.41374286778,6250.753477431414,30256.294569995913
6862.2613102025,7591.606292242217,6250.328809227034,30259.01615345042
