----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/GAUSSIAN.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 3
Execution Info - Random | Iters:     73 | TTime: 0.00046 | LastNorm: 9.88046e-09 | Iterations/sec: 157664.36251 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.02292 | LastNorm: 3.86499e-05 | Iterations/sec: 43630.22063 | Convergence: false |
Execution Info - Random | Iters:    109 | TTime: 0.00081 | LastNorm: 5.07524e-09 | Iterations/sec: 135380.25940 | Convergence: true |
Execution Info - Random | Iters:    119 | TTime: 0.00085 | LastNorm: 3.08968e-09 | Iterations/sec: 139692.74447 | Convergence: true |
Execution Info - Random | Iters:    105 | TTime: 0.00066 | LastNorm: 2.68376e-09 | Iterations/sec: 159565.91304 | Convergence: true |
Execution Info - Random | Iters:     60 | TTime: 0.00036 | LastNorm: 6.67355e-09 | Iterations/sec: 168558.76758 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.00035 | LastNorm: 3.15055e-09 | Iterations/sec: 140937.63441 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 0.00058 | LastNorm: 9.05444e-09 | Iterations/sec: 126313.61056 | Convergence: true |
Execution Info - Random | Iters:    188 | TTime: 0.00109 | LastNorm: 5.33514e-09 | Iterations/sec: 171867.73147 | Convergence: true |
Execution Info - Random | Iters:    148 | TTime: 0.00147 | LastNorm: 5.76272e-09 | Iterations/sec: 100739.53132 | Convergence: true |
Execution Info - Random | Iters:    153 | TTime: 0.00096 | LastNorm: 9.27856e-09 | Iterations/sec: 159554.57782 | Convergence: true |
Execution Info - Random | Iters:    207 | TTime: 0.00168 | LastNorm: 8.44166e-09 | Iterations/sec: 123151.90468 | Convergence: true |
Execution Info - Random | Iters:    116 | TTime: 0.00081 | LastNorm: 4.87653e-09 | Iterations/sec: 142512.96544 | Convergence: true |
Execution Info - Random | Iters:    166 | TTime: 0.00146 | LastNorm: 5.10800e-09 | Iterations/sec: 113692.76029 | Convergence: true |
Execution Info - Random | Iters:    138 | TTime: 0.00131 | LastNorm: 5.90667e-09 | Iterations/sec: 105258.03819 | Convergence: true |
Execution Info - Random | Iters:     64 | TTime: 0.00044 | LastNorm: 7.67900e-10 | Iterations/sec: 145809.59044 | Convergence: true |
Execution Info - Random | Iters:     74 | TTime: 0.00059 | LastNorm: 7.99955e-09 | Iterations/sec: 124750.19936 | Convergence: true |
Execution Info - Random | Iters:     89 | TTime: 0.00057 | LastNorm: 6.88566e-09 | Iterations/sec: 156124.23923 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:    164 | TTime: 0.00225 | LastNorm: 2.81837e-06 | Iterations/sec: 134863.56405 | Convergence: true |
| 3 |Execution Info - Random | Iters:   1000 | TTime: 0.00520 | LastNorm: 2.83319e-07 | Iterations/sec: 192126.05927 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00495 | LastNorm: 2.40965e-07 | Iterations/sec: 202057.23095 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00530 | LastNorm: 2.07353e-07 | Iterations/sec: 188822.04115 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00496 | LastNorm: 2.09008e-07 | Iterations/sec: 201697.71580 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00543 | LastNorm: 3.00145e-07 | Iterations/sec: 184227.34660 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.18229 | LastNorm: 3.00870e-07 | Iterations/sec: 5485.76212 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00494 | LastNorm: 2.05882e-07 | Iterations/sec: 202388.72804 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00521 | LastNorm: 2.18520e-07 | Iterations/sec: 192011.71947 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00500 | LastNorm: 2.27141e-07 | Iterations/sec: 200081.28608 | Convergence: false |
