----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/JENSMP.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
| 1 |Execution Info - Random | Iters:      7 | TTime: 0.18344 | LastNorm: 9.25122e-13 | Iterations/sec: 38.16042 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.01024 | LastNorm: 1.86530e-05 | Iterations/sec: 97675.97401 | Convergence: false |
Execution Info - Random | Iters:      9 | TTime: 0.00007 | LastNorm: 9.25122e-13 | Iterations/sec: 138273.75824 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.01036 | LastNorm: 5.29792e-06 | Iterations/sec: 96533.95935 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.01192 | LastNorm: 2.15603e-05 | Iterations/sec: 83919.64786 | Convergence: false |
Execution Info - Random | Iters:      9 | TTime: 0.00006 | LastNorm: 9.25122e-13 | Iterations/sec: 142987.63636 | Convergence: true |
Execution Info - Random | Iters:     10 | TTime: 0.00009 | LastNorm: 9.49167e-09 | Iterations/sec: 108660.72539 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00007 | LastNorm: 9.25122e-13 | Iterations/sec: 117734.84912 | Convergence: true |
Execution Info - Random | Iters:      9 | TTime: 0.00008 | LastNorm: 3.04049e-10 | Iterations/sec: 115439.55963 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.01038 | LastNorm: 1.11371e-05 | Iterations/sec: 96329.98783 | Convergence: false |
Execution Info - Random | Iters:     24 | TTime: 0.00029 | LastNorm: 2.47741e-12 | Iterations/sec: 83886.08000 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00016 | LastNorm: 2.47741e-12 | Iterations/sec: 120380.32628 | Convergence: true |
Execution Info - Random | Iters:      9 | TTime: 0.00007 | LastNorm: 2.45390e-11 | Iterations/sec: 132451.70526 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00006 | LastNorm: 2.39488e-09 | Iterations/sec: 101475.09677 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00745 | LastNorm: 3.73567e-08 | Iterations/sec: 134226.31848 | Convergence: false |
Execution Info - Random | Iters:     11 | TTime: 0.00008 | LastNorm: 9.25122e-13 | Iterations/sec: 129599.28090 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00015 | LastNorm: 2.47741e-12 | Iterations/sec: 125895.38073 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00814 | LastNorm: 3.29609e-07 | Iterations/sec: 122863.20230 | Convergence: false |
Execution Info - Random | Iters:      7 | TTime: 0.00007 | LastNorm: 9.26879e-13 | Iterations/sec: 104484.44128 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00035 | LastNorm: 2.47741e-12 | Iterations/sec: 82576.24983 | Convergence: true |
Execution Info - Random | Iters:     12 | TTime: 0.00010 | LastNorm: 6.76700e-09 | Iterations/sec: 124892.42680 | Convergence: true |
Execution Info - Random | Iters:      9 | TTime: 0.00005 | LastNorm: 1.28709e-11 | Iterations/sec: 183246.29126 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00006 | LastNorm: 9.25331e-13 | Iterations/sec: 116508.44444 | Convergence: true |
Execution Info - Random | Iters:      9 | TTime: 0.00008 | LastNorm: 4.04360e-11 | Iterations/sec: 112682.79403 | Convergence: true |
Execution Info - Random | Iters:     10 | TTime: 0.00007 | LastNorm: 7.01462e-11 | Iterations/sec: 133576.56051 | Convergence: true |
Execution Info - Random | Iters:      9 | TTime: 0.00008 | LastNorm: 9.25122e-13 | Iterations/sec: 118334.59561 | Convergence: true |
Execution Info - Random | Iters:     10 | TTime: 0.00008 | LastNorm: 9.25122e-13 | Iterations/sec: 117817.52809 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00961 | LastNorm: 1.03616e-07 | Iterations/sec: 104079.60495 | Convergence: false |
Execution Info - Random | Iters:     18 | TTime: 0.00012 | LastNorm: 6.78014e-12 | Iterations/sec: 145187.44615 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00014 | LastNorm: 2.30357e-12 | Iterations/sec: 121263.89116 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:    243 | TTime: 0.00846 | LastNorm: 1.90460e-06 | Iterations/sec: 113767.39744 | Convergence: true |
| 2 |Execution Info - Random | Iters:     23 | TTime: 0.00023 | LastNorm: 2.14512e-12 | Iterations/sec: 101760.54008 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00959 | LastNorm: 6.24583e-08 | Iterations/sec: 104263.29919 | Convergence: false |
Execution Info - Random | Iters:      7 | TTime: 0.00007 | LastNorm: 9.25122e-13 | Iterations/sec: 107546.25641 | Convergence: true |
Execution Info - Random | Iters:      9 | TTime: 0.00007 | LastNorm: 2.45390e-11 | Iterations/sec: 123361.88235 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00023 | LastNorm: 8.09053e-09 | Iterations/sec: 102191.72881 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00006 | LastNorm: 9.25122e-13 | Iterations/sec: 142784.81702 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00015 | LastNorm: 1.36535e-11 | Iterations/sec: 136347.34365 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00005 | LastNorm: 1.05391e-09 | Iterations/sec: 131659.76682 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00006 | LastNorm: 9.25122e-13 | Iterations/sec: 131072.00000 | Convergence: true |
Execution Info - Random | Iters:      9 | TTime: 0.00007 | LastNorm: 1.49580e-09 | Iterations/sec: 124995.81457 | Convergence: true |
Execution Info - Random | Iters:     25 | TTime: 0.00025 | LastNorm: 2.46343e-12 | Iterations/sec: 99579.86705 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00015 | LastNorm: 1.87101e-10 | Iterations/sec: 123361.88235 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00962 | LastNorm: 4.60797e-07 | Iterations/sec: 103981.55540 | Convergence: false |
Execution Info - Random | Iters:     17 | TTime: 0.00012 | LastNorm: 3.53224e-12 | Iterations/sec: 146714.33745 | Convergence: true |
Execution Info - Random | Iters:     11 | TTime: 0.00008 | LastNorm: 9.25122e-13 | Iterations/sec: 137723.41493 | Convergence: true |
Execution Info - Random | Iters:      9 | TTime: 0.00008 | LastNorm: 6.16317e-09 | Iterations/sec: 114044.51964 | Convergence: true |
