----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/SINEVAL.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
Execution Info - Random | Iters:     49 | TTime: 0.00021 | LastNorm: 1.64943e-13 | Iterations/sec: 238977.78605 | Convergence: true |
Execution Info - Random | Iters:     68 | TTime: 0.00028 | LastNorm: 7.85626e-13 | Iterations/sec: 244607.78045 | Convergence: true |
Execution Info - Random | Iters:     68 | TTime: 0.00028 | LastNorm: 2.34070e-12 | Iterations/sec: 246297.64421 | Convergence: true |
Execution Info - Random | Iters:     79 | TTime: 0.00040 | LastNorm: 2.06665e-13 | Iterations/sec: 199969.83464 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 0.00020 | LastNorm: 3.26959e-10 | Iterations/sec: 261202.16527 | Convergence: true |
Execution Info - Random | Iters:     70 | TTime: 0.00029 | LastNorm: 2.37690e-15 | Iterations/sec: 244667.73333 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 0.00028 | LastNorm: 6.78732e-14 | Iterations/sec: 257081.60537 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 0.00020 | LastNorm: 6.01321e-14 | Iterations/sec: 258787.09197 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 0.00019 | LastNorm: 5.27356e-16 | Iterations/sec: 253879.68726 | Convergence: true |
Execution Info - Random | Iters:     96 | TTime: 0.00037 | LastNorm: 7.51213e-16 | Iterations/sec: 261632.99805 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.00020 | LastNorm: 1.75977e-09 | Iterations/sec: 252364.86161 | Convergence: true |
Execution Info - Random | Iters:     77 | TTime: 0.00031 | LastNorm: 2.57221e-13 | Iterations/sec: 248431.85231 | Convergence: true |
Execution Info - Random | Iters:    100 | TTime: 0.00040 | LastNorm: 5.36838e-11 | Iterations/sec: 247014.36985 | Convergence: true |
Execution Info - Random | Iters:    119 | TTime: 0.00052 | LastNorm: 1.22221e-12 | Iterations/sec: 228431.20183 | Convergence: true |
Execution Info - Random | Iters:     94 | TTime: 0.00045 | LastNorm: 1.31607e-10 | Iterations/sec: 207507.67158 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 0.00020 | LastNorm: 1.57987e-11 | Iterations/sec: 253747.92883 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00018 | LastNorm: 1.31704e-15 | Iterations/sec: 249991.62914 | Convergence: true |
