Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
104.23333333333333,0.1644118865331014,7.999636288791303e-9,667.9580357985476,1.0
99.36666666666666,0.1440675973892212,8.470974569608055e-9,689.8762268374948,1.0
91.9,0.13260390758514404,6.403638901528208e-9,694.1831121978364,1.0
93.3,0.13498504161834718,7.3600922479563145e-9,691.7436937852079,1.0
98.4,0.14338090419769287,7.247445370149458e-9,685.5565875773561,1.0
97.9,0.14217971165974935,7.858789198298921e-9,689.9890785004617,1.0
93.6,0.13522789478302003,7.834063967090116e-9,693.1685460105749,1.0
85.1,0.12290341059366862,6.935087435439831e-9,692.523078200321,1.0
100.56666666666666,0.14545125961303712,7.69478397089373e-9,691.8832909897351,1.0
116.16666666666667,0.16795895099639893,7.787343057307447e-9,691.9179663001049,1.0
94.33333333333333,0.13623545169830323,7.744637347157204e-9,692.8467614669245,1.0
100.56666666666666,0.14651399453481037,7.91880906854286e-9,685.0629645673249,1.0
89.3,0.12897497812906902,7.481594883033517e-9,692.5994319328195,1.0
102.46666666666667,0.14812908172607422,7.506341674948715e-9,692.6282080880914,1.0
88.53333333333333,0.1279051939646403,7.608363205033868e-9,692.647005696595,1.0
91.93333333333334,0.13325559298197429,7.650096057847711e-9,691.0992853244911,1.0
98.23333333333333,0.14294307231903075,8.486163770201432e-9,686.8042223746161,1.0
103.86666666666666,0.1500961462656657,7.979232974520183e-9,692.2737750551858,1.0
97.06666666666666,0.1401281197865804,7.565849242660425e-9,693.0302449574002,1.0
92.53333333333333,0.13393126328786215,8.151434533657082e-9,691.6427500979167,1.0
103.1,0.14988730748494467,7.048088575785503e-9,688.544010663221,1.0
110.23333333333333,0.16074053446451822,8.350771352970542e-9,688.5906525111718,1.0
92.6,0.13396832942962647,8.12909667905721e-9,692.0124364806646,1.0
92.33333333333333,0.13389790852864583,8.025896558075668e-9,690.2382685289357,1.0
107.76666666666667,0.1556412696838379,7.967687272189639e-9,692.674049063444,1.0
90.1,0.1306163469950358,8.473830250865539e-9,690.5331723166702,1.0
100.43333333333334,0.1458784023920695,7.538450895335462e-9,691.072003755566,1.0
102.16666666666667,0.14854967594146729,7.299037714715709e-9,687.2519197243001,1.0
106.43333333333334,0.15375890731811523,7.712928434849666e-9,692.5353688628403,1.0
96.66666666666667,0.13997537295023602,7.520286949525734e-9,690.5489870117357,1.0
