Iterations,Execution time,Last Gradient,Not divergency number,Percentage of convergence
1000,0.004509925842285156,1.6797112663640395e-8,221733.1359695496,false
1000,0.004499197006225586,1.6653718052583925e-8,222261.88331301996,false
1000,0.004216909408569336,2.3924443454101154e-8,237140.49867134052,false
1000,0.004282951354980469,1.8808448383859952e-8,233483.8566020931,false
1000,0.004826068878173828,5.001424141706017e-8,207207.9834008497,false
1000,0.004492044448852539,5.026696627257324e-8,222615.7847248023,false
1000,0.00429987907409668,1.8756151984752962e-8,232564.6797892986,false
1000,0.00395512580871582,1.4008658418188693e-8,252836.45789378503,false
306,0.0008289813995361328,8.102426546220674e-9,369127.70319240727,true
1000,0.004522085189819336,4.683859448279488e-8,221136.92202246006,false
1000,0.004194974899291992,2.6505710468591656e-8,238380.44899119067,false
1000,0.004082918167114258,1.6804126160312357e-8,244922.8613138686,false
1000,0.0046329498291015625,3.065562557383159e-8,215845.2037875669,false
1000,0.0043048858642578125,5.4015433361453225e-8,232294.19583517945,false
1000,0.005158901214599609,3.3443950559811694e-8,193839.72640724652,false
1000,0.004794120788574219,2.6223047542448172e-8,208588.82037000198,false
258,0.0004749298095703125,4.816536817415924e-9,543238.1686746988,true
1000,0.0045261383056640625,8.09895788422855e-8,220938.89591234725,false
1000,0.004260063171386719,2.1407671914973824e-8,234738.30311170808,false
1000,0.00426483154296875,2.618369418815146e-8,234475.84973166368,false
1000,0.0045490264892578125,4.302269415875457e-8,219827.2536687631,false
1000,0.02185988426208496,4.079464608520809e-8,45745.89636480635,false
1000,0.004603147506713867,6.194824582365532e-8,217242.6581032786,false
1000,0.0041539669036865234,4.709517784351452e-8,240733.74275383115,false
1000,0.0040509700775146484,2.6198225711826213e-8,246854.45235713024,false
1000,0.004518032073974609,4.7756753681148704e-8,221335.30343007916,false
1000,0.0047109127044677734,4.999485599645853e-8,212273.09074345868,false
344,0.0010979175567626953,7.139747381409472e-9,313320.42909880565,true
1000,0.0043239593505859375,5.153869905587049e-8,231269.51918835466,false
1000,0.004239797592163086,4.829869154232657e-8,235860.31603216555,false
