Iterations,Execution time,Last Gradient,Not divergency number,Percentage of convergence
2,0.374967098236084,7.313372095155012e-12,5.333801310590656,true
2,0.027195215225219727,1.0334600324434955e-11,73.54234866085127,true
2,0.027447938919067383,1.3599932326609098e-11,72.86521606948969,true
2,0.027187108993530273,1.7671651099591223e-11,73.56427638098411,true
2,0.027122974395751953,1.5477042996806098e-11,73.73822541797789,true
2,0.027193069458007812,1.6426670845813533e-11,73.54815178508802,true
2,0.027031898498535156,1.946765246962422e-11,73.98666431469395,true
2,0.02732110023498535,2.1718755275872294e-11,73.20349410522458,true
2,0.027415037155151367,2.6833700814261692e-11,72.95266421421552,true
2,0.02740001678466797,2.614966250100878e-11,72.99265601614981,true
2,0.027265071868896484,2.3613381855964808e-11,73.35392364329562,true
2,0.027233123779296875,2.8406241295680466e-11,73.43997758789746,true
2,0.02729511260986328,3.353324756897134e-11,73.27319101359141,true
2,0.027554035186767578,3.3536550692736615e-11,72.58464999567362,true
2,0.027704954147338867,3.102676046675395e-11,72.18925501062795,true
2,0.027801036834716797,3.325663832215535e-11,71.93976296245476,true
2,0.027833938598632812,3.0706229948300066e-11,71.85472486808744,true
2,0.027848005294799805,3.203215554343831e-11,71.8184293211647,true
2,0.027409076690673828,2.8931190430643626e-11,72.96852873123292,true
2,0.027224063873291016,3.122428925621956e-11,73.46441770444713,true
2,0.027253150939941406,3.811882400974543e-11,73.38600972810302,true
2,0.02707505226135254,3.537818082540275e-11,73.86874014846646,true
2,0.02731800079345703,3.8683901326064955e-11,73.21179961598882,true
2,0.02785205841064453,3.6919837557617356e-11,71.80797808594419,true
2,0.027721881866455078,3.555448076411755e-11,72.14517432960078,true
2,0.027595043182373047,3.8807927973793676e-11,72.47678457258385,true
2,0.027686119079589844,3.6231868072561634e-11,72.2383658847439,true
2,0.02777695655822754,4.597797913140836e-11,72.00212866400584,true
2,0.033761024475097656,4.227833842528488e-11,59.23990847716166,true
2,0.02786993980407715,4.5640335268311014e-11,71.76190598400274,true
