----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | none                
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/GAUSSIAN.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | simplest            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 3
| 1 |Execution Info - Random | Iters:     33 | TTime: 0.14920 | LastNorm: 5.61339e-09 | Iterations/sec: 221.17226 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00381 | LastNorm: 1.93738e-05 | Iterations/sec: 262603.55622 | Convergence: false |
Execution Info - Random | Iters:     47 | TTime: 0.00021 | LastNorm: 7.72314e-09 | Iterations/sec: 229223.59070 | Convergence: true |
Random - Floating point overflow occurred, ending process.
Execution Info - Random | Iters:   1000 | TTime: 0.00049 | LastNorm: Inf | Iterations/sec: 2053012.23691 | Convergence: false |
Execution Info - Random | Iters:     36 | TTime: 0.00017 | LastNorm: 4.46937e-09 | Iterations/sec: 205715.18256 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00015 | LastNorm: 7.43886e-09 | Iterations/sec: 223871.79906 | Convergence: true |
Execution Info - Random | Iters:     36 | TTime: 0.00016 | LastNorm: 4.92914e-09 | Iterations/sec: 221076.05271 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00015 | LastNorm: 9.63927e-09 | Iterations/sec: 236393.94525 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00368 | LastNorm: 2.42980e-07 | Iterations/sec: 271739.81212 | Convergence: false |
Random - Floating point overflow occurred, ending process.
Execution Info - Random | Iters:   1000 | TTime: 0.00027 | LastNorm: Inf | Iterations/sec: 3692169.01408 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00388 | LastNorm: 1.16140e-04 | Iterations/sec: 257857.12529 | Convergence: false |
Execution Info - Random | Iters:     73 | TTime: 0.00028 | LastNorm: 3.88572e-09 | Iterations/sec: 256221.08117 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00360 | LastNorm: 3.26326e-05 | Iterations/sec: 278081.54876 | Convergence: false |
Execution Info - Random | Iters:     36 | TTime: 0.00014 | LastNorm: 6.25788e-09 | Iterations/sec: 260785.74093 | Convergence: true |
Execution Info - Random | Iters:    366 | TTime: 0.00146 | LastNorm: 5.10986e-09 | Iterations/sec: 251040.92625 | Convergence: true |
Execution Info - Random | Iters:     39 | TTime: 0.00016 | LastNorm: 4.89845e-09 | Iterations/sec: 239499.05710 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.00020 | LastNorm: 7.60701e-09 | Iterations/sec: 253585.48972 | Convergence: true |
Execution Info - Random | Iters:     37 | TTime: 0.00014 | LastNorm: 4.09375e-09 | Iterations/sec: 256935.84106 | Convergence: true |
Execution Info - Random | Iters:     69 | TTime: 0.00029 | LastNorm: 7.55175e-09 | Iterations/sec: 235481.67290 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.00018 | LastNorm: 8.90172e-09 | Iterations/sec: 223398.34887 | Convergence: true |
Execution Info - Random | Iters:     44 | TTime: 0.00017 | LastNorm: 4.04991e-09 | Iterations/sec: 257391.04045 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 0.00031 | LastNorm: 6.43527e-09 | Iterations/sec: 253216.49536 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00014 | LastNorm: 7.41510e-09 | Iterations/sec: 243047.41722 | Convergence: true |
Execution Info - Random | Iters:     39 | TTime: 0.00016 | LastNorm: 4.67037e-09 | Iterations/sec: 246723.76471 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00013 | LastNorm: 8.36415e-09 | Iterations/sec: 265561.14711 | Convergence: true |
Execution Info - Random | Iters:     36 | TTime: 0.00014 | LastNorm: 5.49373e-09 | Iterations/sec: 251658.24000 | Convergence: true |
Execution Info - Random | Iters:     63 | TTime: 0.00024 | LastNorm: 5.10202e-09 | Iterations/sec: 261366.12463 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00013 | LastNorm: 4.56273e-09 | Iterations/sec: 268057.02256 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00369 | LastNorm: 8.86854e-05 | Iterations/sec: 271160.07241 | Convergence: false |
Execution Info - Random | Iters:     41 | TTime: 0.00017 | LastNorm: 5.93088e-09 | Iterations/sec: 239841.65132 | Convergence: true |
Execution Info - Random Mean (28 repetitions) | Iters:    226 | TTime: 0.00618 | LastNorm: 9.18625e-06 | Iterations/sec: 240062.67567 | Convergence: true |
| 2 |Execution Info - Random | Iters:   1000 | TTime: 0.00369 | LastNorm: 5.03726e-05 | Iterations/sec: 271300.38810 | Convergence: false |
Execution Info - Random | Iters:     55 | TTime: 0.00025 | LastNorm: 9.37565e-09 | Iterations/sec: 215796.74462 | Convergence: true |
Execution Info - Random | Iters:     19 | TTime: 0.00009 | LastNorm: 9.15282e-09 | Iterations/sec: 218333.63288 | Convergence: true |
Execution Info - Random | Iters:     56 | TTime: 0.00022 | LastNorm: 5.90957e-09 | Iterations/sec: 258111.01538 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00378 | LastNorm: 1.09522e-04 | Iterations/sec: 264341.33737 | Convergence: false |
Execution Info - Random | Iters:    129 | TTime: 0.00048 | LastNorm: 5.75789e-09 | Iterations/sec: 269857.96309 | Convergence: true |
Execution Info - Random | Iters:     22 | TTime: 0.00010 | LastNorm: 6.95677e-09 | Iterations/sec: 224512.62287 | Convergence: true |
Execution Info - Random | Iters:     21 | TTime: 0.00008 | LastNorm: 7.38463e-09 | Iterations/sec: 256047.62791 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00377 | LastNorm: 4.42545e+27 | Iterations/sec: 264975.93025 | Convergence: false |
Execution Info - Random | Iters:     19 | TTime: 0.00009 | LastNorm: 5.83906e-09 | Iterations/sec: 215966.87263 | Convergence: true |
Execution Info - Random | Iters:     15 | TTime: 0.00006 | LastNorm: 9.55835e-09 | Iterations/sec: 231303.52941 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 0.00030 | LastNorm: 3.92855e-09 | Iterations/sec: 260889.72249 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00385 | LastNorm: 1.22477e-04 | Iterations/sec: 259677.06786 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00367 | LastNorm: 1.15673e-04 | Iterations/sec: 272198.32565 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00374 | LastNorm: 2.13550e-04 | Iterations/sec: 267170.13823 | Convergence: false |
