Archived Convergence,Iterations,Execution time,Last Gradient,Not divergency number
1.0,6.0,0.00021505355834960938,1.4267888373061285e-9,1.0
1.0,7.0,3.600120544433594e-5,0.0,1.0
1.0,42.36666666666667,0.00017132759094238282,3.7171777331166057e-10,30.0
