----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/CLIFF.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 290008.63571 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 3.86243e-14 | Iterations/sec: 287339.84458 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.62210e-14 | Iterations/sec: 282714.65594 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 286461.12946 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00026 | LastNorm: 2.60635e-14 | Iterations/sec: 259721.22736 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.60635e-14 | Iterations/sec: 280177.83450 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.60635e-14 | Iterations/sec: 276865.38719 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00023 | LastNorm: 2.60635e-14 | Iterations/sec: 296432.87764 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00025 | LastNorm: 2.60635e-14 | Iterations/sec: 264861.79830 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00025 | LastNorm: 2.60635e-14 | Iterations/sec: 266874.04368 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.60635e-14 | Iterations/sec: 284143.95147 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00025 | LastNorm: 2.60635e-14 | Iterations/sec: 264861.79830 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 3.86243e-14 | Iterations/sec: 282714.65594 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.60635e-14 | Iterations/sec: 281581.53106 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00022 | LastNorm: 2.61422e-14 | Iterations/sec: 310174.79912 | Convergence: true |
Execution Info - Random | Iters:     68 | TTime: 0.00022 | LastNorm: 2.60635e-14 | Iterations/sec: 306350.88292 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.61422e-14 | Iterations/sec: 281299.66767 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00024 | LastNorm: 2.60635e-14 | Iterations/sec: 281299.66767 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     67 | TTime: 0.00024 | LastNorm: 2.81727e-14 | Iterations/sec: 282900.64541 | Convergence: true |
| 3 |Execution Info - Random | Iters:     58 | TTime: 0.00021 | LastNorm: 1.94058e-09 | Iterations/sec: 281562.07407 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00021 | LastNorm: 1.94062e-09 | Iterations/sec: 280264.55300 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00020 | LastNorm: 1.94055e-09 | Iterations/sec: 297395.63814 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00020 | LastNorm: 1.93866e-09 | Iterations/sec: 293095.94217 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00018 | LastNorm: 1.94048e-09 | Iterations/sec: 313896.29935 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00020 | LastNorm: 1.94055e-09 | Iterations/sec: 295948.45742 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00018 | LastNorm: 1.94046e-09 | Iterations/sec: 315116.10363 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00019 | LastNorm: 1.94063e-09 | Iterations/sec: 298857.04177 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00019 | LastNorm: 1.94058e-09 | Iterations/sec: 303707.40574 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00019 | LastNorm: 1.94055e-09 | Iterations/sec: 301823.36476 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00018 | LastNorm: 1.94055e-09 | Iterations/sec: 318415.74869 | Convergence: true |
