Archived Convergence,Iterations,Execution time,Last Gradient
1.0,48.0,2.186397075653076,7.787602172345384e-9
1.0,48.0,2.1914608478546143,7.787006082587316e-9
1.0,84.2,3.8525104761123656,1.8988720453199373e-9
