----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/VARDIM.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 200
Execution Info - Random | Iters:     83 | TTime: 0.12031 | LastNorm: 7.38909e-09 | Iterations/sec: 689.87861 | Convergence: true |
Execution Info - Random | Iters:     92 | TTime: 0.13248 | LastNorm: 5.27721e-09 | Iterations/sec: 694.46993 | Convergence: true |
Execution Info - Random | Iters:     74 | TTime: 0.10672 | LastNorm: 4.73224e-09 | Iterations/sec: 693.37096 | Convergence: true |
Execution Info - Random | Iters:    108 | TTime: 0.15640 | LastNorm: 6.28693e-09 | Iterations/sec: 690.54145 | Convergence: true |
Execution Info - Random | Iters:    156 | TTime: 0.22854 | LastNorm: 9.82726e-09 | Iterations/sec: 682.59118 | Convergence: true |
Execution Info - Random | Iters:    150 | TTime: 0.21904 | LastNorm: 9.13292e-09 | Iterations/sec: 684.79998 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 0.08232 | LastNorm: 8.71909e-09 | Iterations/sec: 692.43006 | Convergence: true |
Execution Info - Random | Iters:    108 | TTime: 0.15565 | LastNorm: 8.59987e-09 | Iterations/sec: 693.88295 | Convergence: true |
Execution Info - Random | Iters:    118 | TTime: 0.17094 | LastNorm: 9.79667e-09 | Iterations/sec: 690.29619 | Convergence: true |
Execution Info - Random | Iters:     94 | TTime: 0.13618 | LastNorm: 8.68376e-09 | Iterations/sec: 690.28744 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.08140 | LastNorm: 6.16830e-09 | Iterations/sec: 675.68428 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 0.07276 | LastNorm: 9.57829e-09 | Iterations/sec: 645.96050 | Convergence: true |
Execution Info - Random | Iters:    118 | TTime: 0.18127 | LastNorm: 9.09752e-09 | Iterations/sec: 650.95194 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 0.08674 | LastNorm: 8.35252e-09 | Iterations/sec: 680.17111 | Convergence: true |
Execution Info - Random | Iters:    122 | TTime: 0.17655 | LastNorm: 9.98788e-09 | Iterations/sec: 691.01059 | Convergence: true |
Execution Info - Random | Iters:     59 | TTime: 0.08489 | LastNorm: 8.85883e-09 | Iterations/sec: 694.99262 | Convergence: true |
Execution Info - Random | Iters:    154 | TTime: 0.22227 | LastNorm: 8.92058e-09 | Iterations/sec: 692.86661 | Convergence: true |
Execution Info - Random | Iters:     68 | TTime: 0.09805 | LastNorm: 9.47126e-09 | Iterations/sec: 693.51108 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     95 | TTime: 0.13894 | LastNorm: 8.27088e-09 | Iterations/sec: 686.12879 | Convergence: true |
| 3 |Execution Info - Random | Iters:     49 | TTime: 0.07057 | LastNorm: 7.18391e-09 | Iterations/sec: 694.32735 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.08434 | LastNorm: 6.43210e-09 | Iterations/sec: 687.70161 | Convergence: true |
Execution Info - Random | Iters:     71 | TTime: 0.10334 | LastNorm: 7.76443e-09 | Iterations/sec: 687.05938 | Convergence: true |
Execution Info - Random | Iters:    188 | TTime: 0.27400 | LastNorm: 9.83759e-09 | Iterations/sec: 686.13395 | Convergence: true |
Execution Info - Random | Iters:     83 | TTime: 0.11933 | LastNorm: 5.53464e-09 | Iterations/sec: 695.52694 | Convergence: true |
Execution Info - Random | Iters:     63 | TTime: 0.09175 | LastNorm: 6.52319e-09 | Iterations/sec: 686.64206 | Convergence: true |
Execution Info - Random | Iters:    186 | TTime: 0.26885 | LastNorm: 9.35958e-09 | Iterations/sec: 691.83292 | Convergence: true |
Execution Info - Random | Iters:    114 | TTime: 0.16465 | LastNorm: 9.46071e-09 | Iterations/sec: 692.36890 | Convergence: true |
Execution Info - Random | Iters:    148 | TTime: 0.22389 | LastNorm: 9.74080e-09 | Iterations/sec: 661.04223 | Convergence: true |
Execution Info - Random | Iters:     88 | TTime: 0.12748 | LastNorm: 8.87831e-09 | Iterations/sec: 690.29387 | Convergence: true |
Execution Info - Random | Iters:    115 | TTime: 0.16566 | LastNorm: 8.03230e-09 | Iterations/sec: 694.18034 | Convergence: true |
Execution Info - Random | Iters:    142 | TTime: 0.20454 | LastNorm: 2.77400e-09 | Iterations/sec: 694.23745 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.05782 | LastNorm: 5.50762e-09 | Iterations/sec: 691.83825 | Convergence: true |
Execution Info - Random | Iters:     65 | TTime: 0.09358 | LastNorm: 7.28251e-09 | Iterations/sec: 694.61581 | Convergence: true |
Execution Info - Random | Iters:    177 | TTime: 0.25565 | LastNorm: 5.68842e-09 | Iterations/sec: 692.36369 | Convergence: true |
Execution Info - Random | Iters:     40 | TTime: 0.05733 | LastNorm: 3.25564e-09 | Iterations/sec: 697.75111 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 0.07602 | LastNorm: 7.91333e-09 | Iterations/sec: 697.21336 | Convergence: true |
Execution Info - Random | Iters:    140 | TTime: 0.20206 | LastNorm: 7.39630e-09 | Iterations/sec: 692.87746 | Convergence: true |
Execution Info - Random | Iters:    120 | TTime: 0.17361 | LastNorm: 8.67940e-09 | Iterations/sec: 691.19599 | Convergence: true |
Execution Info - Random | Iters:     70 | TTime: 0.10099 | LastNorm: 4.72720e-09 | Iterations/sec: 693.14573 | Convergence: true |
Execution Info - Random | Iters:    120 | TTime: 0.17349 | LastNorm: 6.24270e-09 | Iterations/sec: 691.69849 | Convergence: true |
Execution Info - Random | Iters:    124 | TTime: 0.17982 | LastNorm: 9.25713e-09 | Iterations/sec: 689.56269 | Convergence: true |
Execution Info - Random | Iters:    110 | TTime: 0.15884 | LastNorm: 9.22603e-09 | Iterations/sec: 692.51687 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 0.11651 | LastNorm: 1.98293e-09 | Iterations/sec: 695.22550 | Convergence: true |
Execution Info - Random | Iters:    139 | TTime: 0.20089 | LastNorm: 5.54311e-09 | Iterations/sec: 691.91745 | Convergence: true |
Execution Info - Random | Iters:     88 | TTime: 0.12667 | LastNorm: 7.80384e-09 | Iterations/sec: 694.71789 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 0.09578 | LastNorm: 2.95789e-09 | Iterations/sec: 689.10047 | Convergence: true |
Execution Info - Random | Iters:    106 | TTime: 0.15346 | LastNorm: 8.15883e-09 | Iterations/sec: 690.75187 | Convergence: true |
Execution Info - Random | Iters:    137 | TTime: 0.19804 | LastNorm: 9.41637e-09 | Iterations/sec: 691.78690 | Convergence: true |
Execution Info - Random | Iters:    103 | TTime: 0.14855 | LastNorm: 9.98144e-09 | Iterations/sec: 693.35573 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:    103 | TTime: 0.14892 | LastNorm: 7.08474e-09 | Iterations/sec: 691.09941 | Convergence: true |
| 4 |Execution Info - Random | Iters:    152 | TTime: 0.22072 | LastNorm: 9.63416e-09 | Iterations/sec: 688.64548 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 0.06801 | LastNorm: 6.09435e-09 | Iterations/sec: 691.02546 | Convergence: true |
Execution Info - Random | Iters:     82 | TTime: 0.11835 | LastNorm: 8.90121e-09 | Iterations/sec: 692.83626 | Convergence: true |
Execution Info - Random | Iters:    132 | TTime: 0.19092 | LastNorm: 9.93439e-09 | Iterations/sec: 691.39987 | Convergence: true |
Execution Info - Random | Iters:    111 | TTime: 0.16034 | LastNorm: 9.77012e-09 | Iterations/sec: 692.28787 | Convergence: true |
Execution Info - Random | Iters:     76 | TTime: 0.11224 | LastNorm: 8.23204e-09 | Iterations/sec: 677.14589 | Convergence: true |
Execution Info - Random | Iters:    199 | TTime: 0.28824 | LastNorm: 8.89733e-09 | Iterations/sec: 690.40613 | Convergence: true |
Execution Info - Random | Iters:     99 | TTime: 0.14284 | LastNorm: 1.96631e-09 | Iterations/sec: 693.07783 | Convergence: true |
Execution Info - Random | Iters:     90 | TTime: 0.12987 | LastNorm: 7.98007e-09 | Iterations/sec: 692.98957 | Convergence: true |
Execution Info - Random | Iters:     74 | TTime: 0.10729 | LastNorm: 6.14921e-09 | Iterations/sec: 689.75145 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 0.12215 | LastNorm: 6.01317e-09 | Iterations/sec: 695.84840 | Convergence: true |
Execution Info - Random | Iters:    124 | TTime: 0.17922 | LastNorm: 6.12814e-09 | Iterations/sec: 691.87525 | Convergence: true |
Execution Info - Random | Iters:     42 | TTime: 0.06094 | LastNorm: 8.95519e-09 | Iterations/sec: 689.18870 | Convergence: true |
Execution Info - Random | Iters:    164 | TTime: 0.23735 | LastNorm: 7.33255e-09 | Iterations/sec: 690.97386 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 0.08213 | LastNorm: 8.24052e-09 | Iterations/sec: 693.99586 | Convergence: true |
Execution Info - Random | Iters:    101 | TTime: 0.14577 | LastNorm: 9.60567e-09 | Iterations/sec: 692.88219 | Convergence: true |
Execution Info - Random | Iters:    141 | TTime: 0.20410 | LastNorm: 7.89820e-09 | Iterations/sec: 690.83092 | Convergence: true |
Execution Info - Random | Iters:     86 | TTime: 0.12360 | LastNorm: 7.03341e-09 | Iterations/sec: 695.81566 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 0.08210 | LastNorm: 4.22248e-09 | Iterations/sec: 694.24979 | Convergence: true |
Execution Info - Random | Iters:    211 | TTime: 0.30499 | LastNorm: 9.50168e-09 | Iterations/sec: 691.82368 | Convergence: true |
Execution Info - Random | Iters:     38 | TTime: 0.05414 | LastNorm: 8.45672e-09 | Iterations/sec: 701.89828 | Convergence: true |
Execution Info - Random | Iters:     53 | TTime: 0.07738 | LastNorm: 6.70919e-09 | Iterations/sec: 684.91514 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.06455 | LastNorm: 4.86542e-09 | Iterations/sec: 697.15544 | Convergence: true |
Execution Info - Random | Iters:     54 | TTime: 0.07856 | LastNorm: 7.78038e-09 | Iterations/sec: 687.38214 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.07340 | LastNorm: 6.37998e-09 | Iterations/sec: 681.22748 | Convergence: true |
Execution Info - Random | Iters:    152 | TTime: 0.21992 | LastNorm: 9.64866e-09 | Iterations/sec: 691.17566 | Convergence: true |
Execution Info - Random | Iters:    148 | TTime: 0.21382 | LastNorm: 1.54544e-09 | Iterations/sec: 692.15484 | Convergence: true |
Execution Info - Random | Iters:    199 | TTime: 0.28753 | LastNorm: 9.11332e-09 | Iterations/sec: 692.11101 | Convergence: true |
Execution Info - Random | Iters:    114 | TTime: 0.16496 | LastNorm: 9.44581e-09 | Iterations/sec: 691.06403 | Convergence: true |
Execution Info - Random | Iters:    113 | TTime: 0.16287 | LastNorm: 6.92691e-09 | Iterations/sec: 693.79603 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:    103 | TTime: 0.14928 | LastNorm: 7.44540e-09 | Iterations/sec: 691.33101 | Convergence: true |
| 5 |Execution Info - Random | Iters:    115 | TTime: 0.16680 | LastNorm: 8.15290e-09 | Iterations/sec: 689.44441 | Convergence: true |
Execution Info - Random | Iters:    120 | TTime: 0.17394 | LastNorm: 9.66118e-09 | Iterations/sec: 689.90464 | Convergence: true |
Execution Info - Random | Iters:     51 | TTime: 0.07324 | LastNorm: 3.00538e-09 | Iterations/sec: 696.32227 | Convergence: true |
Execution Info - Random | Iters:     86 | TTime: 0.12406 | LastNorm: 3.62009e-09 | Iterations/sec: 693.23608 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 0.10566 | LastNorm: 9.72158e-09 | Iterations/sec: 690.90805 | Convergence: true |
Execution Info - Random | Iters:    124 | TTime: 0.17919 | LastNorm: 4.66396e-09 | Iterations/sec: 691.98756 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 0.06881 | LastNorm: 5.86259e-09 | Iterations/sec: 697.54417 | Convergence: true |
Execution Info - Random | Iters:     83 | TTime: 0.11954 | LastNorm: 9.31821e-09 | Iterations/sec: 694.29932 | Convergence: true |
Execution Info - Random | Iters:    106 | TTime: 0.15282 | LastNorm: 8.76901e-09 | Iterations/sec: 693.64438 | Convergence: true |
Execution Info - Random | Iters:     99 | TTime: 0.14375 | LastNorm: 6.22598e-09 | Iterations/sec: 688.69017 | Convergence: true |
Execution Info - Random | Iters:     90 | TTime: 0.13157 | LastNorm: 9.14481e-09 | Iterations/sec: 684.05095 | Convergence: true |
Execution Info - Random | Iters:     73 | TTime: 0.10555 | LastNorm: 9.41143e-09 | Iterations/sec: 691.62908 | Convergence: true |
Execution Info - Random | Iters:    169 | TTime: 0.24364 | LastNorm: 1.63567e-09 | Iterations/sec: 693.63837 | Convergence: true |
Execution Info - Random | Iters:     99 | TTime: 0.14284 | LastNorm: 9.74833e-09 | Iterations/sec: 693.09287 | Convergence: true |
Execution Info - Random | Iters:     69 | TTime: 0.13266 | LastNorm: 3.37421e-09 | Iterations/sec: 520.12605 | Convergence: true |
