,iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
0,6.0,7.864242590471804e-11,0.3691048622131347,16.2555431104979,1.0
1,6.0,7.864242590973353e-11,0.0991299152374267,60.52663301112845,1.0
2,6.0,7.864242590471804e-11,1.5854835510253906e-05,450321.08502540865,1.0
3,inf,inf,inf,0.0,0.0
4,8.0,1.8907861315861633e-09,0.4642510414123535,17.2320561213223,1.0
5,1000.0,inf,1.811981201171875e-05,55188210.526315786,0.0
