Percentage of convergence,Iterations,Execution time,Last Gradient,Not divergency number
1.0,46.86666666666667,0.0122580448786417,5.002906042745731e-09,30.0
1.0,46.833333333333336,0.014398964246114,4.903021151425126e-09,30.0
1.0,33.86666666666667,0.0004273200035095,5.048143106242653e-09,30.0
1.0,80.5,0.0002188046773274,5.851964394025427e-09,30.0
