----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | none                
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/BROWNBS.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | simplest            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
Execution Info - Random | Iters:     96 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 492241.05623 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 467150.02635 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.00018 | LastNorm: 0.00000e+00 | Iterations/sec: 511232.33552 | Convergence: true |
Execution Info - Random | Iters:     95 | TTime: 0.00021 | LastNorm: 6.98492e-10 | Iterations/sec: 443718.12918 | Convergence: true |
Execution Info - Random | Iters:     63 | TTime: 0.00013 | LastNorm: 5.58794e-09 | Iterations/sec: 473550.45161 | Convergence: true |
Execution Info - Random | Iters:     93 | TTime: 0.00020 | LastNorm: 0.00000e+00 | Iterations/sec: 455689.57009 | Convergence: true |
Execution Info - Random | Iters:    165 | TTime: 0.00037 | LastNorm: 6.76668e-09 | Iterations/sec: 441083.59465 | Convergence: true |
Execution Info - Random | Iters:    178 | TTime: 0.00038 | LastNorm: 0.00000e+00 | Iterations/sec: 472223.97976 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.00010 | LastNorm: 0.00000e+00 | Iterations/sec: 471378.20183 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 0.00018 | LastNorm: 0.00000e+00 | Iterations/sec: 454667.10027 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00014 | LastNorm: 0.00000e+00 | Iterations/sec: 402764.29139 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 0.00012 | LastNorm: 1.24598e-09 | Iterations/sec: 479108.87375 | Convergence: true |
Execution Info - Random | Iters:    122 | TTime: 0.00028 | LastNorm: 0.00000e+00 | Iterations/sec: 435493.69191 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 0.00016 | LastNorm: 0.00000e+00 | Iterations/sec: 487564.39940 | Convergence: true |
Execution Info - Random | Iters:     77 | TTime: 0.00016 | LastNorm: 2.32831e-10 | Iterations/sec: 475642.72165 | Convergence: true |
Execution Info - Random | Iters:     90 | TTime: 0.00019 | LastNorm: 0.00000e+00 | Iterations/sec: 481488.97959 | Convergence: true |
Execution Info - Random | Iters:     92 | TTime: 0.00020 | LastNorm: 2.37028e-09 | Iterations/sec: 469435.48418 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 0.00017 | LastNorm: 0.00000e+00 | Iterations/sec: 502843.21580 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     90 | TTime: 0.00019 | LastNorm: 7.25829e-10 | Iterations/sec: 463627.68319 | Convergence: true |
| 3 |Execution Info - Random | Iters:    126 | TTime: 0.00025 | LastNorm: 7.76777e-09 | Iterations/sec: 504277.00763 | Convergence: true |
Execution Info - Random | Iters:    222 | TTime: 0.00043 | LastNorm: 0.00000e+00 | Iterations/sec: 511331.95387 | Convergence: true |
