iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
1000,0.008862018585205078,0.1685181742451365,112841.10842076944,false
1000,0.008832931518554688,0.24082353708686752,113212.69704167567,false
1000,0.008749008178710938,0.22421013102361778,114298.67015478526,false
1000,0.008663177490234375,0.15922720375739657,115431.08762659621,false
1000,0.00869607925415039,0.15274812242233984,114994.35214125131,false
1000,0.019687175750732422,0.15809443936270776,50794.487368905466,false
1000,0.008605003356933594,0.2010938237303853,116211.45960323617,false
1000,0.008573055267333984,0.20431304345485235,116644.52972912842,false
1000,0.008523941040039062,0.1354931214247972,117316.62564332066,false
1000,0.00857090950012207,0.15742498701391716,116673.7322317728,false
1000,0.008538961410522461,0.26707133174355735,117110.26106380008,false
1000,0.014374017715454102,0.14723590914982526,69569.97130488149,false
1000,0.008527994155883789,0.17303014834871866,117260.86834968827,false
1000,0.008521080017089844,0.16755396294015937,117356.01566871852,false
1000,0.00854802131652832,0.21607332820603267,116986.13784062701,false
1000,0.008500099182128906,0.19754999439378726,117645.68607651745,false
1000,0.008511781692504883,0.14996472320091564,117484.21612839977,false
1000,0.01080012321472168,0.1669484708927918,92591.53623700302,false
1000,0.008535146713256836,0.19591961696243962,117162.60230732702,false
1000,0.008462190628051758,0.15106477291750753,118172.71011185304,false
1000,0.008506059646606445,0.20668005781167606,117563.2480309443,false
1000,0.010447978973388672,0.17764467164813424,95712.29063027703,false
1000,0.008542060852050781,0.1609958386695494,117067.76822596851,false
1000,0.008514881134033203,0.21572303386452116,117441.45153161226,false
1000,0.008543014526367188,0.1923452439089118,117054.69970975665,false
1000,0.010273933410644531,0.2020997225251218,97333.70463195024,false
1000,0.008491992950439453,0.1722373425395954,117757.98753439273,false
1000,0.008500099182128906,0.09735728936660396,117645.68607651745,false
1000,0.01014089584350586,0.1485408934027275,98610.61738844219,false
1000,0.008463144302368164,0.23963765799957223,118159.39375158463,false
