iterations,Last Gradient,Execution time,Iterations per Second,Archived Convergence
2,8.702278137207031e-5,0.0,22982.487671232877,true
27,0.0017590522766113281,2.914732157347172e-10,15349.174301978856,true
21,0.0009908676147460938,3.824703033898736e-10,21193.547641963425,true
2,4.792213439941406e-5,0.0,41734.36815920398,true
28,0.0017249584197998047,1.176838061755705e-10,16232.275328265378,true
35,0.0031189918518066406,1.1074655835234273e-13,11221.574682770219,true
30,0.0023851394653320312,8.000465445013033e-10,12577.880847660936,true
32,0.0022149085998535156,1.4273354983805128e-11,14447.548762109796,true
2,4.601478576660156e-5,0.0,43464.290155440416,true
22,0.001249074935913086,1.6412830631491752e-12,17613.034548577973,true
35,0.0032501220703125,1.1232545889952932e-12,10768.826291079813,true
22,0.0012440681457519531,2.1315692718364214e-10,17683.918742813337,true
3,0.00035500526428222656,0.0,8450.57891202149,true
1000,0.003695964813232422,Inf,270565.3464069152,false
2,8.702278137207031e-5,0.0,22982.487671232877,true
25,0.0016498565673828125,8.875856758108097e-10,15152.832369942196,true
35,0.004385948181152344,4.0799589948704656e-10,7980.030441400304,true
2,4.601478576660156e-5,0.0,43464.290155440416,true
2,4.696846008300781e-5,0.0,42581.766497461926,true
26,0.0019388198852539062,8.793638036126952e-11,13410.219380226266,true
27,0.0015819072723388672,1.3741185634082373e-11,17068.004220045215,true
24,0.0013070106506347656,8.122009052655927e-11,18362.51295147756,true
33,0.0029420852661132812,2.2152710958984145e-9,11216.534197730956,true
11,0.0015180110931396484,0.0,7246.323857389665,true
29,0.002864837646484375,5.733340198735508e-11,10122.737683089214,true
31,0.0025758743286132812,1.6197265805809796e-14,12034.748611625324,true
33,0.002597808837890625,5.512281997737449e-10,12703.013215859031,true
24,0.0010030269622802734,2.52093323970189e-9,23927.572141668647,true
24,0.0017921924591064453,2.2980691157839906e-9,13391.418917121193,true
2,4.601478576660156e-5,0.0,43464.290155440416,true
