,Percentage of convergence,Iterations,Execution time,Last Gradient,Not divergency number
0,1.0,6.4,0.0104264497756958,7.558086425837038e-10,30.0
0,1.0,6.4,0.0113368431727091,7.558082091352191e-10,30.0
0,0.9666666666666668,37.333333333333336,0.000513470172882,0.3735208699621358,30.0
0,0.1,930.2666666666668,0.0044734875361124,3.3633462479507465e-08,30.0
