----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | none                
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/MARATOSB.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | simplest            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
Execution Info - Random | Iters:     74 | TTime: 0.00015 | LastNorm: 1.19877e-10 | Iterations/sec: 492664.27937 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 0.00017 | LastNorm: 9.34183e-11 | Iterations/sec: 459649.75342 | Convergence: true |
Execution Info - Random | Iters:     75 | TTime: 0.00017 | LastNorm: 1.68492e-09 | Iterations/sec: 428573.29700 | Convergence: true |
Execution Info - Random | Iters:     67 | TTime: 0.00014 | LastNorm: 2.27865e-10 | Iterations/sec: 462201.26316 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 0.00020 | LastNorm: 9.34271e-11 | Iterations/sec: 441772.93947 | Convergence: true |
Execution Info - Random | Iters:     84 | TTime: 0.00018 | LastNorm: 8.78876e-09 | Iterations/sec: 469762.04800 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 0.00020 | LastNorm: 9.53832e-11 | Iterations/sec: 409323.64337 | Convergence: true |
Execution Info - Random | Iters:     72 | TTime: 0.00016 | LastNorm: 9.34205e-11 | Iterations/sec: 455490.02715 | Convergence: true |
Execution Info - Random | Iters:     85 | TTime: 0.00019 | LastNorm: 9.34190e-11 | Iterations/sec: 445088.43945 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 0.00014 | LastNorm: 1.28038e-09 | Iterations/sec: 440011.58714 | Convergence: true |
Execution Info - Random | Iters:     60 | TTime: 0.00015 | LastNorm: 9.39928e-11 | Iterations/sec: 408536.10390 | Convergence: true |
Execution Info - Random | Iters:     80 | TTime: 0.00018 | LastNorm: 9.78947e-11 | Iterations/sec: 446796.69774 | Convergence: true |
Execution Info - Random | Iters:     58 | TTime: 0.00015 | LastNorm: 9.34335e-11 | Iterations/sec: 378924.66044 | Convergence: true |
Execution Info - Random | Iters:     69 | TTime: 0.00015 | LastNorm: 5.23565e-09 | Iterations/sec: 472115.78467 | Convergence: true |
Execution Info - Random | Iters:    113 | TTime: 0.00023 | LastNorm: 9.34186e-11 | Iterations/sec: 487108.27544 | Convergence: true |
Execution Info - Random | Iters:     84 | TTime: 0.00017 | LastNorm: 1.68295e-09 | Iterations/sec: 499746.85957 | Convergence: true |
Execution Info - Random | Iters:     84 | TTime: 0.00018 | LastNorm: 5.23570e-09 | Iterations/sec: 461758.23853 | Convergence: true |
Execution Info - Random | Iters:     84 | TTime: 0.00017 | LastNorm: 2.15206e-09 | Iterations/sec: 502598.48217 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     75 | TTime: 0.00016 | LastNorm: 1.69112e-09 | Iterations/sec: 451995.40161 | Convergence: true |
| 3 |Execution Info - Random | Iters:     46 | TTime: 0.00010 | LastNorm: 9.34183e-11 | Iterations/sec: 455042.41509 | Convergence: true |
Execution Info - Random | Iters:     61 | TTime: 0.00012 | LastNorm: 9.34187e-11 | Iterations/sec: 499712.00000 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00010 | LastNorm: 2.29776e-10 | Iterations/sec: 450462.24344 | Convergence: true |
Execution Info - Random | Iters:     62 | TTime: 0.00013 | LastNorm: 9.87123e-11 | Iterations/sec: 472812.45091 | Convergence: true |
Execution Info - Random | Iters:     47 | TTime: 0.00010 | LastNorm: 1.02355e-10 | Iterations/sec: 460589.45794 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 0.00010 | LastNorm: 9.37343e-11 | Iterations/sec: 457560.43636 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 0.00011 | LastNorm: 9.42158e-11 | Iterations/sec: 444429.56291 | Convergence: true |
Execution Info - Random | Iters:     44 | TTime: 0.00010 | LastNorm: 1.77349e-09 | Iterations/sec: 427197.62963 | Convergence: true |
Execution Info - Random | Iters:     48 | TTime: 0.00010 | LastNorm: 7.01201e-09 | Iterations/sec: 494659.93120 | Convergence: true |
Execution Info - Random | Iters:     52 | TTime: 0.00011 | LastNorm: 9.34378e-11 | Iterations/sec: 460134.61603 | Convergence: true |
Execution Info - Random | Iters:     57 | TTime: 0.00012 | LastNorm: 1.01926e-10 | Iterations/sec: 471548.97041 | Convergence: true |
Execution Info - Random | Iters:     46 | TTime: 0.00010 | LastNorm: 5.23565e-09 | Iterations/sec: 456118.16548 | Convergence: true |
Execution Info - Random | Iters:     49 | TTime: 0.00011 | LastNorm: 9.34205e-11 | Iterations/sec: 462884.90090 | Convergence: true |
Execution Info - Random | Iters:     55 | TTime: 0.00013 | LastNorm: 9.37707e-11 | Iterations/sec: 423278.38532 | Convergence: true |
Execution Info - Random | Iters:     46 | TTime: 0.00011 | LastNorm: 9.34183e-11 | Iterations/sec: 417614.68398 | Convergence: true |
Execution Info - Random | Iters:     50 | TTime: 0.00010 | LastNorm: 9.34473e-11 | Iterations/sec: 485451.85185 | Convergence: true |
Execution Info - Random | Iters:     43 | TTime: 0.00009 | LastNorm: 5.23707e-09 | Iterations/sec: 457753.98985 | Convergence: true |
Execution Info - Random | Iters:     45 | TTime: 0.00010 | LastNorm: 1.64520e-10 | Iterations/sec: 459230.36496 | Convergence: true |
