Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
19,0.3644428253173828,5.563890237695174e-9,52.134377960256025,true
21,0.00048089027404785156,3.869864751819191e-9,43669.00545364403,true
22,0.00031304359436035156,4.209457899952945e-9,70277.7517136329,true
20,0.0002980232238769531,3.1178153440099328e-9,67108.864,true
19,0.0002779960632324219,3.743546602259172e-9,68346.29159519725,true
21,0.0002741813659667969,6.668104432788315e-9,76591.63826086957,true
20,0.0002770423889160156,9.499515291772104e-9,72191.11876075731,true
20,0.00026988983154296875,7.155102241225735e-9,74104.3109540636,true
21,0.00027298927307128906,5.575731692881827e-9,76926.09956331877,true
21,0.00027108192443847656,4.326713068659771e-9,77467.3562005277,true
21,0.000270843505859375,3.4377083311256794e-9,77535.54929577465,true
22,0.0002720355987548828,2.9935031095879074e-9,80871.76862401402,true
22,0.00026917457580566406,7.354725777345119e-9,81731.3445527015,true
21,0.00027108192443847656,6.154237403224793e-9,77467.3562005277,true
22,0.00029397010803222656,6.84261397771891e-9,74837.54095701542,true
22,0.0002808570861816406,7.329407353445401e-9,78331.65365025467,true
22,0.000286102294921875,9.019195486408644e-9,76895.57333333333,true
22,0.0002770423889160156,6.140670366968291e-9,79410.23063683305,true
22,0.0002968311309814453,6.510328218278791e-9,74116.21526104417,true
23,0.000286102294921875,4.8970431215216485e-9,80390.82666666666,true
24,0.0002758502960205078,4.070109697443188e-9,87003.71305099395,true
23,0.0002911090850830078,9.386617694445857e-9,79008.18345618345,true
24,0.00030994415283203125,5.188832705652754e-9,77433.30461538462,true
24,0.000308990478515625,4.361180427047996e-9,77672.29629629629,true
24,0.0002892017364501953,7.679823552326957e-9,82987.05358615004,true
24,0.00029087066650390625,6.898501351505792e-9,82510.89836065574,true
24,0.0002810955047607422,6.009740221602002e-9,85380.23409669212,true
24,0.00027489662170410156,6.30578358195737e-9,87305.54726799653,true
24,0.00028896331787109375,6.135457050756443e-9,83055.52475247525,true
24,0.00028204917907714844,2.9675782583257268e-9,85091.54353338969,true
